Age,Gender,NumberOfChildren,CommuteTime,CountryOfResidence,HoursSpentLearningToCode,Income,IsSoftwareDev,LanguageAtHome,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,ResourceBooks,ResourceCoursera,StudentDebtOwed,ID
31.0,male,,60.0,United States of America,10.0,110000.0,1.0,English,married or domestic partnership,500.0,48.0,,1.0,,62993
20.0,male,,0.0,United States of America,20.0,16000.0,1.0,English,,2000.0,120.0,,1.0,,27738
32.0,male,,,Germany,40.0,,0.0,English,,100.0,2.0,,,30000.0,52600
27.0,male,,60.0,United Kingdom,7.0,30000.0,0.0,English,,150.0,12.0,,1.0,,13143
32.0,male,,60.0,United Kingdom,15.0,23000.0,0.0,English,,50.0,3.0,,,30000.0,60902
32.0,female,,90.0,United States of America,20.0,94000.0,0.0,Yue (Cantonese) Chinese,,1000.0,9.0,,,,15557
16.0,male,,,United States of America,6.0,,0.0,English,,0.0,6.0,,1.0,,85317
19.0,male,,10.0,Canada,20.0,10000.0,1.0,English,,0.0,30.0,,,20000.0,23891
22.0,male,,,United States of America,20.0,,1.0,English,,100.0,36.0,,,,43343
19.0,male,,20.0,United Kingdom,20.0,18000.0,1.0,English,,100.0,12.0,,1.0,,47533
24.0,male,,,United States of America,25.0,,0.0,French,,100.0,3.0,,1.0,,20424
26.0,male,,10.0,United States of America,10.0,30000.0,0.0,English,"single, never married",500.0,2.0,,,5000.0,95318
38.0,female,,,United States of America,40.0,,0.0,English,,200.0,36.0,,,8000.0,43736
28.0,male,,45.0,United States of America,3.0,60000.0,0.0,English,,0.0,6.0,,1.0,,46093
32.0,male,,60.0,United States of America,20.0,67000.0,0.0,Yue (Cantonese) Chinese,,8000.0,6.0,,1.0,,84513
35.0,male,,15.0,United States of America,25.0,50000.0,0.0,English,,0.0,4.0,,1.0,,82754
16.0,male,,,United States of America,7.0,,0.0,English,,0.0,3.0,,,,70972
23.0,male,,,United States of America,40.0,,0.0,English,,100.0,5.0,,,7000.0,93411
26.0,male,,45.0,United States of America,10.0,40000.0,1.0,English,married or domestic partnership,6000.0,8.0,,1.0,80000.0,51296
25.0,male,,0.0,"Netherlands (Holland, Europe)",40.0,30000.0,1.0,Dutch,,0.0,3.0,,,27000.0,75637
25.0,male,,120.0,United States of America,10.0,40000.0,0.0,English,married or domestic partnership,50.0,1.0,,,20000.0,37893
34.0,male,,30.0,United States of America,2.0,45000.0,0.0,English,,250.0,36.0,,,,85049
31.0,male,,12.0,United States of America,10.0,34000.0,0.0,Hindi,,25.0,3.0,,,,62764
19.0,male,,60.0,United States of America,25.0,10000.0,1.0,English,,40.0,36.0,,1.0,,28873
22.0,male,,,Pakistan,2.0,,0.0,Urdu,"single, never married",0.0,1.0,,1.0,,32427
,,,,,4.0,,1.0,,,0.0,72.0,,1.0,,51028
30.0,male,,0.0,United States of America,10.0,37000.0,1.0,English,married or domestic partnership,500.0,120.0,,,,17052
25.0,male,,,United States of America,30.0,,0.0,English,,0.0,10.0,,,,26722
15.0,female,,,United States of America,10.0,,0.0,English,,0.0,1.0,,,,48392
26.0,female,,120.0,United States of America,5.0,19000.0,0.0,Spanish,,0.0,14.0,,,11400.0,76110
24.0,male,,,Australia,,,0.0,Nepali,,400.0,4.0,,1.0,,99002
31.0,female,,45.0,Korea South,100.0,35000.0,0.0,French,,0.0,24.0,,1.0,,91870
28.0,male,,60.0,Canada,1.0,70000.0,0.0,English,,0.0,4.0,,,,57265
32.0,male,,120.0,United States of America,4.0,20000.0,1.0,English,,250.0,32.0,,,40000.0,24927
23.0,male,,,Canada,30.0,,0.0,French,,0.0,30.0,,,30000.0,47325
16.0,male,,,"Netherlands (Holland, Europe)",5.0,,0.0,Dutch,,0.0,1.0,,1.0,,82635
29.0,female,,25.0,United States of America,40.0,35000.0,0.0,English,,500.0,24.0,,1.0,20000.0,87265
43.0,male,,,Austria,10.0,,0.0,Greek,,0.0,2.0,,,,74400
25.0,male,,30.0,Canada,3.0,30000.0,1.0,English,,150.0,60.0,,,15000.0,64009
35.0,male,,0.0,United States of America,20.0,135000.0,1.0,English,,0.0,3.0,,,,50190
33.0,female,,,United States of America,3.0,,0.0,English,,0.0,6.0,,,,46355
18.0,female,,,Canada,6.0,,0.0,English,,0.0,1.0,,,,55683
21.0,male,,,United States of America,30.0,,0.0,English,,0.0,4.0,,1.0,,91693
24.0,male,,120.0,Australia,15.0,35000.0,1.0,Pashto,,0.0,3.0,,,30000.0,98147
20.0,male,,,India,12.0,,0.0,Marathi,,0.0,7.0,,1.0,,37621
25.0,female,,30.0,United Kingdom,15.0,26000.0,0.0,English,,30.0,8.0,,,50000.0,43201
24.0,female,,,United States of America,15.0,,0.0,English,,0.0,2.0,,,,49033
27.0,male,,25.0,United States of America,20.0,16000.0,0.0,English,,120.0,9.0,,1.0,70000.0,42214
24.0,male,,,Belgium,25.0,,0.0,Dutch,,0.0,1.0,,,,42433
22.0,male,,,United States of America,10.0,,0.0,Portuguese,,0.0,9.0,,,,16155
32.0,male,,30.0,United States of America,6.0,45000.0,1.0,English,married or domestic partnership,0.0,48.0,,,,82588
28.0,male,,0.0,Canada,4.0,,0.0,English,,100.0,1.0,,,,25533
31.0,male,,0.0,United States of America,50.0,7000.0,0.0,English,,500.0,13.0,,1.0,34000.0,58529
22.0,male,,,United States of America,20.0,,0.0,English,,10.0,2.0,,,,60679
36.0,female,,,United States of America,20.0,,0.0,English,,300.0,14.0,,,150000.0,82757
27.0,male,,160.0,United Kingdom,10.0,,0.0,English,,100.0,6.0,,,,58880
26.0,male,,80.0,Republic of Montenegro,20.0,6000.0,0.0,Serbo-Croatian,,0.0,6.0,,1.0,,78982
30.0,male,,,United States of America,20.0,,0.0,English,,0.0,14.0,,,,11636
26.0,male,,,Bolivia,18.0,,0.0,Spanish,,300.0,6.0,,1.0,,38336
14.0,male,,,United States of America,2.0,,0.0,English,,0.0,12.0,,,,63252
34.0,female,,120.0,United States of America,6.0,76000.0,0.0,English,,200.0,3.0,,1.0,,56404
24.0,male,,,Senegal,5.0,,0.0,French,,40.0,2.0,,,,63019
34.0,female,,,United States of America,2.0,,0.0,English,,0.0,2.0,,,,74509
29.0,male,,30.0,United States of America,10.0,35000.0,0.0,English,,30.0,3.0,,,,43510
50.0,male,,30.0,United States of America,10.0,40000.0,0.0,English,,600.0,11.0,,1.0,,22140
19.0,male,,,United Kingdom,3.0,,0.0,English,,100.0,24.0,,,,56373
32.0,male,,50.0,United States of America,10.0,46000.0,0.0,English,,250.0,3.0,,1.0,,81799
22.0,male,,,Ireland,25.0,,0.0,English,,0.0,43.0,,,,19343
26.0,female,,,United States of America,10.0,,0.0,English,,399.0,0.0,,,,75200
30.0,male,,30.0,United States of America,20.0,40000.0,0.0,English,,200.0,3.0,1.0,,74000.0,73141
26.0,female,,,United States of America,30.0,,0.0,English,,12000.0,28.0,,1.0,,70840
27.0,male,,,Romania,56.0,,1.0,Russian,,1900.0,12.0,,1.0,,69842
30.0,male,,120.0,United States of America,0.0,10000.0,1.0,English,married or domestic partnership,3000.0,13.0,,,160000.0,82562
40.0,female,,90.0,Canada,20.0,75000.0,0.0,English,married or domestic partnership,0.0,2.0,,,,71029
22.0,male,,55.0,New Zealand,10.0,46000.0,1.0,English,,300.0,30.0,,1.0,22612.0,41643
32.0,male,,,Canada,40.0,,0.0,English,,8000.0,14.0,,,,20527
