Age,Gender,NumberOfChildren,CommuteTime,CountryOfResidence,HoursSpentLearningToCode,Income,IsSoftwareDev,LanguageAtHome,MaritalStatus,MoneySpentLearningToCode,MonthsSpentProgramming,ResourceBooks,ResourceCoursera,StudentDebtOwed,ID
25.0,male,,,India,2.0,,1.0,Hindi,"single, never married",0.0,48.0,,1.0,,57189
26.0,male,,60.0,France,4.0,35000.0,1.0,Romanian,,100.0,48.0,,1.0,,91597
29.0,male,,90.0,Poland,20.0,6500.0,0.0,Polish,,,5.0,,,,93676
54.0,female,,20.0,Norway,10.0,60000.0,0.0,Swedish,,500.0,14.0,,,,30096
28.0,male,,15.0,United States of America,30.0,,0.0,English,,200.0,2.0,,1.0,,59830
18.0,male,,,New Zealand,5.0,,1.0,English,,0.0,40.0,,,,58753
32.0,male,,90.0,United States of America,20.0,140000.0,1.0,English,,10000.0,170.0,,,,64818
29.0,female,,40.0,United States of America,15.0,105000.0,1.0,English,,18000.0,19.0,,1.0,33000.0,97690
26.0,male,,,United States of America,,,0.0,English,,0.0,2.0,,1.0,,60467
26.0,male,,,Belarus,20.0,,1.0,Russian,,0.0,6.0,,,,41742
25.0,male,,,Chile,6.0,,0.0,Spanish,,600.0,18.0,,,,55721
48.0,male,,30.0,United States of America,5.0,90000.0,0.0,English,,60.0,0.0,,1.0,,11490
33.0,male,,45.0,Canada,4.0,48000.0,1.0,French,,100.0,120.0,,,,93674
37.0,male,,30.0,United States of America,5.0,78000.0,1.0,Gujarati,,0.0,90.0,,1.0,,65871
,male,,45.0,,15.0,,0.0,English,,1500.0,7.0,,1.0,,67017
54.0,male,,120.0,United States of America,4.0,58000.0,0.0,English,,100.0,12.0,,,,53545
27.0,male,,,Iran,20.0,,1.0,Persian,,0.0,9.0,,1.0,,14451
23.0,male,,,United States of America,10.0,,0.0,English,,100.0,36.0,,1.0,,60967
26.0,male,,0.0,Romania,4.0,20000.0,0.0,Romanian,married or domestic partnership,0.0,30.0,,,,24175
26.0,male,,0.0,Canada,20.0,42000.0,1.0,English,,500.0,24.0,,1.0,40000.0,15954
28.0,male,,,Brazil,30.0,,1.0,Portuguese,,300.0,48.0,,,,99151
39.0,female,,35.0,United States of America,12.0,98000.0,0.0,English,married or domestic partnership,200.0,6.0,,,8000.0,85671
19.0,male,,40.0,United States of America,30.0,10000.0,0.0,English,,60.0,2.0,,,5000.0,47092
22.0,male,,7.0,Mexico,10.0,8400.0,1.0,Spanish,"single, never married",0.0,24.0,,1.0,,57043
27.0,male,,,United States of America,50.0,,0.0,English,,0.0,6.0,,1.0,17000.0,65651
19.0,male,,40.0,Switzerland,5.0,80000.0,1.0,German,,200.0,48.0,,,,21953
20.0,male,,,Canada,3.0,,0.0,Romanian,,0.0,1.0,,,,77448
20.0,agender,,,United States of America,2.0,,0.0,English,,0.0,24.0,,1.0,,91810
25.0,female,,30.0,United States of America,10.0,20000.0,1.0,English,,100.0,10.0,,,,57103
28.0,male,,,India,3.0,,1.0,Tamil,"single, never married",200.0,60.0,,,,36561
19.0,male,,,United States of America,2.0,,0.0,English,,0.0,48.0,,,,80842
50.0,female,,0.0,United States of America,20.0,,0.0,English,,0.0,12.0,,,,22544
28.0,male,,2.0,United States of America,10.0,34000.0,0.0,English,,200.0,25.0,,,,47097
32.0,male,,60.0,United States of America,70.0,52000.0,0.0,English,,12000.0,3.0,,,80000.0,13266
26.0,male,,2.0,India,7.0,10000.0,1.0,Hindi,"single, never married",0.0,24.0,,1.0,7500.0,74706
54.0,female,,30.0,United States of America,10.0,19000.0,0.0,English,,10000.0,3.0,,,35000.0,89680
21.0,male,,10.0,Thailand,65.0,45000.0,1.0,English,,1750.0,40.0,,,,64285
24.0,male,,,United States of America,10.0,,0.0,English,,0.0,4.0,,1.0,,27020
20.0,male,,,Ukraine,7.0,,0.0,Ukrainian,,0.0,2.0,,1.0,,43555
23.0,male,,150.0,United Kingdom,5.0,6000.0,1.0,English,,0.0,12.0,,1.0,20000.0,33691
18.0,male,,,United States of America,2.0,,0.0,English,,0.0,12.0,,1.0,,33519
36.0,female,,,United States of America,,,0.0,English,,400.0,15.0,,1.0,,77770
23.0,female,,,Ireland,14.0,,1.0,Mandarin Chinese,,14000.0,24.0,,1.0,,27798
24.0,female,,45.0,Hungary,7.0,,0.0,Hungarian,,0.0,2.0,,,,90155
23.0,male,,30.0,India,10.0,20000.0,1.0,Bhojpuri,"single, never married",0.0,20.0,,1.0,3000.0,74404
52.0,male,,0.0,United States of America,28.0,10000.0,1.0,English,,50000.0,48.0,,,40000.0,79588
22.0,female,,,Poland,10.0,,0.0,Polish,,0.0,1.0,,1.0,,78801
38.0,male,,60.0,United States of America,4.0,35000.0,0.0,English,,100.0,1.0,,,,30626
29.0,male,,70.0,United States of America,20.0,100000.0,0.0,Russian,,100.0,24.0,,1.0,100000.0,90355
30.0,female,,65.0,United States of America,5.0,81000.0,0.0,English,,500.0,24.0,,,20000.0,85006
16.0,male,,,Denmark,8.0,,0.0,,,0.0,4.0,,,,23585
20.0,female,,,India,7.0,,0.0,English,,50000.0,12.0,,,,42494
25.0,male,,,Ukraine,10.0,,1.0,,,,30.0,,1.0,,69764
17.0,male,,,United States of America,2.0,,0.0,English,,0.0,43.0,,1.0,,50905
27.0,male,,100.0,,56.0,,0.0,Czech,,25.0,5.0,,,,60386
22.0,male,,,Rwanda,,,0.0,Kinyarwanda,,0.0,5.0,,,2500.0,43434
31.0,male,,0.0,United States of America,6.0,27000.0,0.0,English,,15.0,4.0,,,,82730
32.0,female,,,United States of America,10.0,,0.0,English,,0.0,2.0,,,,25270
16.0,male,,,"Netherlands (Holland, Europe)",5.0,,0.0,Dutch,,0.0,6.0,,1.0,,78940
26.0,male,,30.0,Poland,7.0,8191.0,1.0,Polish,"single, never married",0.0,7.0,,1.0,,49512
24.0,male,,90.0,Brazil,10.0,9400.0,1.0,Portuguese,,0.0,37.0,,1.0,,43381
31.0,male,,90.0,United States of America,,35000.0,0.0,English,,0.0,60.0,,,,69230
30.0,male,,60.0,United States of America,40.0,80000.0,0.0,English,,10000.0,30.0,,,24000.0,58181
30.0,female,,90.0,Hungary,5.0,,0.0,Hungarian,,0.0,,,,,94541
20.0,female,,,Egypt,10.0,,1.0,Arabic,"single, never married",0.0,24.0,,,,86247
24.0,female,,15.0,Austria,1.0,20000.0,0.0,Polish,,50.0,0.0,,1.0,18000.0,48803
28.0,male,,50.0,Austria,2.0,9000.0,1.0,Slovenian,,300.0,56.0,,,,58668
25.0,male,,,Hungary,5.0,,0.0,Hungarian,,,8.0,,1.0,,51538
23.0,male,,,Nigeria,10.0,,1.0,English,,100.0,10.0,,,,82072
24.0,male,,100.0,United States of America,5.0,7000.0,0.0,Yue (Cantonese) Chinese,,400.0,12.0,,,26000.0,73513
37.0,female,,50.0,United Kingdom,5.0,50000.0,0.0,Romanian,,200.0,0.0,,1.0,,56077
27.0,male,,,United States of America,50.0,,0.0,English,,10000.0,3.0,,1.0,30000.0,66010
31.0,male,,22.0,Poland,12.0,12500.0,1.0,Polish,,0.0,24.0,,1.0,,46243
20.0,male,,,United States of America,20.0,,1.0,English,,0.0,53.0,,1.0,30000.0,82088
26.0,male,,,United States of America,3.0,,0.0,Spanish,,400.0,48.0,,1.0,,12539
24.0,male,,,United States of America,10.0,,1.0,Spanish,,50.0,24.0,,,55000.0,16894
,,,,,,,0.0,,,,,,,,51438
24.0,male,,,United States of America,,,0.0,English,,20.0,5.0,,,,42497
34.0,male,,35.0,United States of America,8.0,90000.0,1.0,English,married or domestic partnership,0.0,120.0,,,,66417
24.0,male,,120.0,United States of America,10.0,38000.0,0.0,English,,400.0,12.0,,,,71304
18.0,male,,,United States of America,6.0,,0.0,Russian,,0.0,32.0,,,,53351
25.0,male,,,Venezuela,5.0,,1.0,Spanish,,0.0,12.0,,1.0,,16275
16.0,male,,,United States of America,6.0,,0.0,English,,0.0,32.0,,,,27946
29.0,male,,50.0,United States of America,7.0,9000.0,0.0,Spanish,,400.0,18.0,,1.0,,99132
32.0,male,,40.0,United States of America,10.0,50000.0,0.0,Arabic,married or domestic partnership,0.0,36.0,,1.0,,39384
45.0,male,,,Canada,15.0,,0.0,English,,500.0,12.0,,,,84440
24.0,female,,,Hungary,15.0,,0.0,Hungarian,,0.0,2.0,,,,69199
20.0,male,,,Ukraine,80.0,,0.0,Russian,,0.0,20.0,,,,59303
28.0,male,,0.0,Germany,10.0,22000.0,0.0,English,,150.0,6.0,,,,56230
25.0,male,,0.0,Macedonia,24.0,12000.0,1.0,Serbo-Croatian,,900.0,28.0,,,,72416
28.0,male,,60.0,Germany,5.0,45000.0,1.0,Polish,married or domestic partnership,0.0,50.0,,,,71974
73.0,female,,,United States of America,10.0,,0.0,English,,1000.0,300.0,,1.0,,67432
23.0,female,,,United States of America,,,1.0,English,,0.0,,,1.0,,21990
29.0,male,,,Poland,30.0,,1.0,Polish,,1000.0,8.0,,,,18523
24.0,male,,90.0,United States of America,5.0,32000.0,1.0,Spanish,,0.0,12.0,,1.0,,91926
24.0,male,,,United States of America,10.0,,0.0,English,,13500.0,24.0,,1.0,30000.0,87464
24.0,male,,,United States of America,40.0,,0.0,English,,5000.0,6.0,,,6000.0,60962
36.0,male,,50.0,Italy,5.0,15000.0,0.0,Italian,,0.0,4.0,,1.0,,70533
23.0,male,,60.0,United States of America,3.0,64000.0,1.0,English,,0.0,108.0,,,,49036
34.0,female,,100.0,United States of America,5.0,56000.0,0.0,English,,350.0,3.0,,1.0,,28510
19.0,male,,,United States of America,100.0,,0.0,English,,0.0,30.0,,1.0,,87373
16.0,male,,,Australia,7.0,,0.0,,,0.0,14.0,,,,34993
28.0,female,,150.0,United States of America,4.0,50000.0,1.0,English,married or domestic partnership,250.0,26.0,,1.0,25000.0,53480
18.0,male,,,France,35.0,,0.0,French,,0.0,24.0,,1.0,,47270
26.0,male,,,United States of America,,,0.0,English,,0.0,16.0,,,5000.0,61062
21.0,male,,,United Kingdom,5.0,,0.0,English,,25.0,6.0,,,,87008
50.0,male,,,United States of America,10.0,,0.0,English,,0.0,120.0,,1.0,,24831
34.0,male,,,France,15.0,,0.0,French,,0.0,6.0,,1.0,,91183
35.0,male,,,Spain,10.0,,1.0,Spanish,,100.0,120.0,,1.0,,50750
50.0,male,,0.0,United States of America,10.0,50000.0,1.0,English,,5000.0,300.0,,1.0,,63854
69.0,male,,,Virgin Islands (USA),,,0.0,English,,,,,,,62071
40.0,male,,0.0,United States of America,5.0,50000.0,1.0,English,,650.0,27.0,,,33000.0,51021
28.0,female,,,United States of America,25.0,,0.0,Mandarin Chinese,,50.0,3.0,,,,85735
27.0,male,,90.0,United States of America,8.0,52000.0,0.0,English,,1000.0,8.0,,,40000.0,13976
27.0,female,,50.0,United States of America,20.0,42000.0,0.0,English,,4000.0,6.0,,1.0,,16168
19.0,male,,,Ireland,25.0,,0.0,English,,0.0,4.0,,1.0,,75404
21.0,male,,30.0,United Kingdom,5.0,22000.0,0.0,English,,0.0,1.0,,,,88790
45.0,female,,,United States of America,13.0,,0.0,English,married or domestic partnership,0.0,18.0,,,,40498
34.0,female,,,Canada,10.0,,0.0,English,,0.0,1.0,,,,45766
32.0,male,,,United Kingdom,7.0,,0.0,English,,0.0,20.0,,,,69729
24.0,male,,60.0,United States of America,15.0,55000.0,0.0,English,,0.0,3.0,,1.0,,93021
26.0,male,,40.0,Canada,20.0,45000.0,0.0,French,,2000.0,6.0,,1.0,,75605
31.0,male,,120.0,United States of America,15.0,22000.0,0.0,English,,0.0,1.0,,,,50359
17.0,male,,,United States of America,10.0,,0.0,English,,50.0,36.0,,1.0,,87963
,,,,,2.0,,1.0,,,125.0,2.0,,1.0,,32899
17.0,male,,,Spain,2.0,,0.0,Polish,,0.0,6.0,,,,71321
27.0,male,,140.0,United States of America,2.0,65000.0,1.0,English,,1000.0,48.0,,1.0,8900.0,25281
28.0,male,,,,,,1.0,,,,,,,,93895
23.0,male,,75.0,New Zealand,25.0,7000.0,0.0,Tagalog,,300.0,24.0,,,,19553
30.0,male,,60.0,United States of America,10.0,43000.0,1.0,English,,1400.0,72.0,,,,82848
24.0,male,,,United States of America,4.0,,0.0,Korean,,500.0,24.0,,1.0,,85208
27.0,male,,90.0,New Zealand,10.0,40000.0,1.0,English,,500.0,20.0,,,40000.0,85043
20.0,male,,90.0,United States of America,8.0,12000.0,0.0,English,,100.0,24.0,,1.0,40000.0,29183
22.0,male,,160.0,Belize,2.0,15000.0,1.0,English,"single, never married",0.0,25.0,,1.0,,28477
19.0,male,,,Romania,10.0,,0.0,Romanian,,0.0,24.0,,1.0,,26289
40.0,male,,,Malaysia,28.0,,0.0,English,,100.0,27.0,,,,56586
21.0,male,,120.0,United States of America,25.0,12000.0,0.0,English,,0.0,36.0,,,13000.0,13523
37.0,male,,2.0,India,6.0,,1.0,Malayalam,,0.0,120.0,,1.0,,44021
25.0,male,,180.0,Kenya,15.0,13000.0,1.0,English,,100.0,14.0,,1.0,,88919
,,,,,8.0,,0.0,,,,24.0,,,,94367
47.0,male,,,United States of America,30.0,,1.0,English,,1000.0,348.0,,1.0,,40373
21.0,male,,,India,30.0,,0.0,Hindi,,0.0,9.0,,,,41310
24.0,female,,40.0,United States of America,10.0,18000.0,0.0,English,,199.0,60.0,,,,95354
23.0,female,,30.0,United States of America,45.0,30000.0,1.0,English,,12000.0,14.0,,,,94326
29.0,male,,60.0,Israel,8.0,42000.0,0.0,English,,2000.0,24.0,,1.0,,28023
31.0,male,,90.0,United States of America,5.0,15000.0,0.0,Spanish,"single, never married",50.0,2.0,,,,63342
22.0,female,,,United States of America,30.0,,0.0,English,,300.0,3.0,,,4000.0,23847
18.0,male,,,Mexico,6.0,,0.0,Spanish,,0.0,12.0,,1.0,,97637
28.0,male,,30.0,Brazil,14.0,25000.0,0.0,Portuguese,,200.0,8.0,,,,81553
26.0,female,,,United States of America,20.0,,0.0,English,,15000.0,18.0,,1.0,,51991
21.0,male,,,Ukraine,4.0,,0.0,Russian,,150.0,15.0,,1.0,,78056
41.0,male,,15.0,Canada,12.0,54000.0,0.0,English,,0.0,1.0,,,2000.0,90084
21.0,male,,,United States of America,5.0,,0.0,English,,250.0,6.0,,,14000.0,76121
34.0,male,,25.0,Spain,8.0,40000.0,1.0,Spanish,,0.0,120.0,,1.0,,26250
28.0,male,,,United States of America,84.0,,0.0,Spanish,"single, never married",0.0,36.0,,,,57414
30.0,genderqueer,,0.0,United States of America,1.0,34000.0,0.0,English,,0.0,6.0,,,2500.0,28749
23.0,male,,,Bosnia & Herzegovina,10.0,,0.0,Mandarin Chinese,,0.0,24.0,,,,87710
34.0,female,,5.0,United States of America,4.0,25000.0,0.0,English,"single, never married",150.0,14.0,,1.0,2500.0,10525
25.0,male,,30.0,United States of America,10.0,55000.0,1.0,English,,60.0,36.0,,1.0,,10726
24.0,male,,,Morocco,10.0,6200.0,0.0,French,,50.0,12.0,,,,37980
34.0,female,,,Serbia,8.0,,0.0,Serbo-Croatian,,,20.0,,,,59699
28.0,male,,,United States of America,30.0,16000.0,0.0,English,married or domestic partnership,2000.0,4.0,,,,11648
26.0,male,,30.0,United States of America,10.0,36000.0,0.0,Persian,,0.0,2.0,,,,72819
15.0,male,,,Canada,2.0,,0.0,French,,0.0,6.0,,1.0,,33239
64.0,male,,0.0,United States of America,20.0,10000.0,0.0,English,,50.0,0.0,,,,90940
22.0,female,,,Spain,0.0,,0.0,Spanish,,0.0,6.0,,1.0,,85745
24.0,male,,35.0,Canada,6.0,42000.0,0.0,English,,0.0,5.0,,,,78858
31.0,female,,60.0,United States of America,20.0,11000.0,0.0,English,,,6.0,,1.0,100000.0,76652
26.0,male,,,Russia,10.0,17000.0,1.0,Russian,,0.0,36.0,,1.0,,37303
,male,,,Nigeria,6.0,,0.0,Yoruba,,,1.0,,,,73015
20.0,male,,,Nigeria,,,0.0,English,,,,,,,39049
35.0,female,,,United States of America,10.0,,0.0,Telugu,,1400.0,7.0,,,,35722
20.0,male,,,Nigeria,12.0,,0.0,Igbo,,0.0,24.0,,,,61133
35.0,male,,30.0,United States of America,2.0,38000.0,0.0,English,,50.0,0.0,,,56000.0,17914
20.0,male,,,Czech Republic,50.0,,0.0,Czech,,200.0,24.0,,1.0,,78733
25.0,female,,30.0,United States of America,5.0,32000.0,0.0,English,,30.0,1.0,,,30000.0,70729
28.0,male,,30.0,United States of America,5.0,135000.0,1.0,Konkani,"single, never married",0.0,36.0,,1.0,,98810
33.0,male,,,United States of America,20.0,,1.0,English,,8000.0,3.0,,,,32583
27.0,female,,,United States of America,20.0,,0.0,English,,12000.0,5.0,,,,65234
26.0,male,,80.0,United States of America,4.0,80000.0,0.0,English,,30.0,8.0,,,,57611
21.0,male,,120.0,United States of America,12.0,117500.0,1.0,English,,30.0,48.0,,1.0,30000.0,34254
31.0,male,,60.0,United Kingdom,15.0,,1.0,English,,0.0,6.0,,,,31437
20.0,male,,,United States of America,2.0,,0.0,English,,0.0,3.0,,1.0,,51948
14.0,male,,,United States of America,2.0,,0.0,English,,0.0,1.0,,,,64238
,male,,,United States of America,2.0,,0.0,English,"single, never married",0.0,24.0,,,,85320
16.0,male,,,United States of America,2.0,,0.0,English,,0.0,24.0,,1.0,,67420
32.0,male,,20.0,United States of America,5.0,90000.0,1.0,English,,,120.0,,,20000.0,82887
25.0,male,,60.0,Germany,8.0,30000.0,0.0,German,,200.0,2.0,,,,42867
27.0,female,,30.0,New Zealand,15.0,15000.0,0.0,English,,11000.0,12.0,,,30000.0,25153
26.0,female,,15.0,United States of America,10.0,35000.0,0.0,English,,0.0,1.0,,,20000.0,82231
33.0,male,,65.0,United States of America,40.0,75000.0,0.0,Yue (Cantonese) Chinese,,50.0,3.0,,,,22584
29.0,female,,40.0,United States of America,20.0,45000.0,0.0,English,,4000.0,3.0,,,10000.0,15724
27.0,male,,20.0,United States of America,4.0,60000.0,1.0,English,,1500.0,20.0,,,,11962
38.0,male,,30.0,,20.0,,1.0,Gujarati,,150.0,60.0,,,,13640
31.0,male,,60.0,Poland,16.0,6000.0,0.0,Polish,"single, never married",100.0,0.0,,1.0,,56121
75.0,female,,,United States of America,6.0,,0.0,English,,,3.0,,,,95811
25.0,male,,30.0,United States of America,20.0,20000.0,0.0,English,,50.0,3.0,,,4300.0,80740
30.0,male,,0.0,Brazil,3.0,12000.0,1.0,Portuguese,,0.0,24.0,,1.0,,52261
22.0,male,,60.0,United States of America,,,1.0,English,,,,,1.0,,20094
32.0,male,,,Spain,10.0,,0.0,Spanish,,4600.0,12.0,,1.0,,24600
23.0,male,,,Morocco,20.0,,0.0,Arabic,,0.0,4.0,,1.0,,65135
21.0,male,,120.0,Canada,8.0,12000.0,0.0,Persian,,0.0,12.0,,,,91509
34.0,female,,10.0,United States of America,7.0,15000.0,0.0,English,,10.0,7.0,,1.0,,72949
21.0,male,,,Ukraine,15.0,,0.0,Russian,,0.0,8.0,,1.0,,77079
27.0,male,,15.0,United States of America,10.0,30000.0,0.0,English,,0.0,2.0,,,50000.0,48346
52.0,male,,10.0,United States of America,50.0,65000.0,0.0,English,,400.0,6.0,,,,97108
19.0,male,,,Kuwait,8.0,,0.0,Arabic,,200.0,2.0,,,,87001
11.0,male,,,United States of America,5.0,,0.0,Korean,,0.0,2.0,,,,25053
33.0,female,,,United States of America,10.0,,0.0,English,,1000.0,5.0,,,140000.0,50072
18.0,male,,,United States of America,,,0.0,English,,,,,,,46377
20.0,female,,,United States of America,14.0,,0.0,English,,20.0,1.0,,,,40394
32.0,female,,120.0,Chile,10.0,28000.0,0.0,English,,0.0,36.0,,1.0,,40646
25.0,male,,240.0,Bangladesh,15.0,60000.0,1.0,Bengali,married or domestic partnership,200.0,70.0,,1.0,,68033
22.0,female,,120.0,United Kingdom,15.0,19000.0,0.0,English,"single, never married",0.0,4.0,,,40000.0,32514
32.0,female,,,France,30.0,,0.0,French,,20.0,30.0,,,,48606
24.0,male,,,Czech Republic,20.0,,1.0,,,0.0,50.0,,1.0,,85894
18.0,male,,,Austria,4.0,,0.0,German,,270.0,17.0,,,,99078
35.0,male,,25.0,United States of America,5.0,37000.0,1.0,English,,15000.0,240.0,,,15000.0,82298
27.0,male,,90.0,France,10.0,30000.0,0.0,French,,1000.0,10.0,,,,14898
32.0,male,,90.0,United States of America,35.0,105000.0,0.0,English,married or domestic partnership,14000.0,16.0,,1.0,35000.0,62740
24.0,male,,60.0,Brazil,10.0,7000.0,1.0,Portuguese,,500.0,60.0,,,,61087
15.0,male,,,Canada,3.0,,0.0,English,,0.0,7.0,,,,10265
19.0,male,,,,10.0,,0.0,English,,25.0,20.0,,,,41477
22.0,male,,180.0,Brazil,8.0,8000.0,1.0,Portuguese,,20000.0,15.0,,,,33098
39.0,male,,80.0,United Kingdom,10.0,,0.0,English,,40.0,4.0,,,,65104
51.0,male,,,United States of America,4.0,,1.0,English,married or domestic partnership,500.0,30.0,,1.0,,26478
25.0,male,,,Mexico,5.0,,0.0,Spanish,,150.0,12.0,,1.0,,90467
54.0,male,,,United States of America,40.0,,0.0,English,,0.0,9.0,,,12000.0,86841
25.0,female,,40.0,Australia,15.0,11505.0,0.0,English,,45.0,6.0,,,38348.0,48930
18.0,male,,,United Kingdom,5.0,,0.0,English,,0.0,2.0,,,,14416
25.0,male,,,United States of America,35.0,,0.0,Hindi,,20.0,24.0,,1.0,30000.0,72422
30.0,female,,120.0,United States of America,25.0,,0.0,English,"single, never married",4000.0,18.0,,1.0,65000.0,46951
50.0,male,,,United States of America,,,1.0,English,,400.0,120.0,,,30000.0,72608
22.0,male,,,United States of America,40.0,,0.0,English,,0.0,16.0,,1.0,3500.0,15966
,male,,,United States of America,4.0,,0.0,English,,60.0,1.0,,1.0,50000.0,92005
21.0,male,,,United States of America,10.0,,0.0,English,,15.0,8.0,,,,70609
29.0,male,,,United States of America,50.0,,0.0,English,,300.0,2.0,,,,48750
27.0,female,,,Romania,15.0,,0.0,Romanian,,0.0,5.0,,,,15094
33.0,male,,0.0,United States of America,20.0,35000.0,1.0,English,married or domestic partnership,0.0,19.0,,,,12036
21.0,female,,30.0,Ireland,15.0,12500.0,1.0,English,,60.0,14.0,,,,10089
22.0,female,,,Canada,8.0,,0.0,Vietnamese,,0.0,2.0,,1.0,,46173
27.0,male,,40.0,United States of America,8.0,45000.0,0.0,English,,250.0,17.0,,,,98260
33.0,male,,0.0,United States of America,30.0,20000.0,0.0,English,,1000.0,16.0,,,60000.0,93339
25.0,male,,70.0,Germany,20.0,12000.0,1.0,Czech,,400.0,40.0,,1.0,,75070
30.0,male,,90.0,United States of America,15.0,30000.0,1.0,English,,500.0,36.0,,,,97643
23.0,male,,40.0,United States of America,10.0,6000.0,1.0,English,,9.0,6.0,,1.0,50000.0,38831
31.0,male,,0.0,United Kingdom,5.0,60000.0,0.0,English,married or domestic partnership,200.0,0.0,,,30000.0,46008
24.0,female,,20.0,United States of America,10.0,80000.0,0.0,English,,50.0,7.0,,,,98955
23.0,male,,90.0,United Kingdom,10.0,10000.0,0.0,English,,0.0,2.0,,,,92704
39.0,male,,20.0,Spain,20.0,22000.0,0.0,Spanish,,,1.0,,,,87237
25.0,male,,120.0,United States of America,5.0,40000.0,0.0,English,,300.0,12.0,,1.0,130000.0,32934
43.0,male,,25.0,United States of America,10.0,,0.0,English,,350.0,18.0,,1.0,,72077
28.0,female,,,United States of America,40.0,,0.0,English,,30.0,8.0,,,70000.0,96191
21.0,male,,0.0,United States of America,40.0,15000.0,0.0,English,,0.0,1.0,,,,83788
29.0,male,,70.0,United States of America,20.0,74000.0,0.0,Hindi,,600.0,8.0,1.0,,10000.0,52062
31.0,male,,,United States of America,60.0,,0.0,English,,0.0,3.0,,,,59526
27.0,male,,30.0,United States of America,40.0,52000.0,1.0,Korean,,10000.0,18.0,,,,85408
19.0,male,,20.0,United Kingdom,5.0,21567.0,0.0,English,,0.0,1.0,,,,60763
30.0,female,,,Brazil,24.0,,0.0,Portuguese,,0.0,5.0,,1.0,,74208
28.0,male,,,United States of America,30.0,,0.0,English,,150.0,4.0,,1.0,,33917
25.0,male,,60.0,Hungary,10.0,6500.0,1.0,Hungarian,,200.0,60.0,,1.0,,84280
25.0,male,,,United States of America,1.0,,0.0,English,,50.0,24.0,,,,19748
38.0,male,,,United States of America,80.0,,0.0,English,,0.0,24.0,,,,82282
24.0,male,,,Serbia,12.0,,1.0,Serbo-Croatian,,0.0,,,,,21184
44.0,male,,120.0,United Kingdom,10.0,45000.0,0.0,English,,100.0,12.0,,,,43778
21.0,male,,,Ireland,50.0,,0.0,English,,0.0,18.0,,,,75795
23.0,male,,60.0,United States of America,10.0,30000.0,1.0,English,,0.0,42.0,,,,69152
35.0,male,,20.0,United States of America,20.0,26000.0,0.0,English,,250.0,12.0,,,,54112
28.0,male,,,Australia,5.0,,0.0,Arabic,,200.0,20.0,,1.0,,47253
31.0,male,,15.0,Bosnia & Herzegovina,12.0,6000.0,0.0,,,0.0,3.0,,,,47767
31.0,female,,2.0,Portugal,15.0,13000.0,0.0,Portuguese,,50.0,2.0,,1.0,,53394
58.0,male,,,United States of America,10.0,,0.0,English,,50.0,8.0,,,,85933
20.0,male,,,Norway,10.0,,0.0,English,,30.0,3.0,,,100000.0,42886
22.0,genderqueer,,,United States of America,10.0,,0.0,English,,150.0,6.0,,,40000.0,23543
44.0,male,,40.0,United States of America,10.0,75000.0,0.0,English,,200.0,24.0,,,24000.0,48771
34.0,male,,,Italy,10.0,,1.0,Italian,,,,,1.0,,25013
31.0,male,,45.0,United States of America,30.0,20000.0,0.0,English,,0.0,6.0,,,,90175
27.0,male,,,Great Britain,21.0,,0.0,English,,0.0,6.0,,,,18001
28.0,genderqueer,,25.0,United States of America,20.0,16000.0,1.0,English,,50.0,20.0,,,110000.0,29779
,,,,,10.0,,0.0,,,0.0,12.0,,1.0,,43659
25.0,female,,60.0,United States of America,3.0,26000.0,0.0,English,,30.0,6.0,,1.0,,23451
24.0,male,,,Romania,2.0,,0.0,Romanian,,0.0,16.0,,,,69416
25.0,female,,5.0,United States of America,10.0,6700.0,0.0,English,,0.0,1.0,,,,51002
25.0,male,,20.0,United States of America,20.0,25000.0,1.0,English,,600.0,7.0,,,12000.0,47236
16.0,male,,60.0,Romania,15.0,80000.0,0.0,Romanian,"single, never married",30.0,3.0,,,,93524
39.0,female,,120.0,Ireland,20.0,50000.0,0.0,English,,1500.0,5.0,,,,47515
19.0,male,,,Pakistan,30.0,,0.0,Urdu,,0.0,24.0,,1.0,,34204
27.0,female,,0.0,Canada,15.0,10000.0,0.0,English,,0.0,3.0,1.0,,14000.0,25258
,,,,,15.0,,1.0,,,0.0,30.0,,,,71475
22.0,male,,,Sweden,40.0,,0.0,Swedish,,0.0,6.0,,,7000.0,62040
20.0,male,,,Albania,10.0,,0.0,English,"single, never married",50.0,36.0,,1.0,,74170
29.0,female,,20.0,United States of America,10.0,30000.0,0.0,English,"single, never married",0.0,7.0,,,,72808
23.0,female,,,Czech Republic,,,0.0,Czech,,0.0,12.0,,1.0,,26849
15.0,male,,,Canada,0.0,,0.0,English,,50.0,24.0,,,,41347
16.0,male,,,Switzerland,1.0,,0.0,English,,110.0,12.0,,,,26391
28.0,male,,,Canada,20.0,55200.0,1.0,Mandarin Chinese,,0.0,120.0,,,,94031
29.0,male,,120.0,United States of America,18.0,76000.0,0.0,English,,250.0,9.0,,1.0,,80268
28.0,male,,70.0,United States of America,40.0,37000.0,1.0,English,,0.0,10.0,,,65000.0,72481
21.0,male,,,Serbia,60.0,,0.0,Serbo-Croatian,,20.0,4.0,,,,20366
26.0,male,,20.0,United States of America,5.0,53000.0,1.0,English,married or domestic partnership,0.0,48.0,,1.0,,33289
27.0,male,,40.0,Brazil,30.0,10000.0,1.0,Portuguese,,0.0,24.0,,,,10871
