Route,Departing_Port,Arriving_Port,Airline,Month,Sectors_Scheduled,Sectors_Flown,Cancellations,Departures_On_Time,Arrivals_On_Time,Departures_Delayed,Arrivals_Delayed
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2004-01-01,93.0,93,0.0,81.0,85.0,12.0,8.0
Adelaide-Canberra,Adelaide,Canberra,Qantas,2004-01-01,48.0,48,0.0,45.0,45.0,3.0,3.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Qantas,2004-01-01,9.0,9,0.0,8.0,8.0,1.0,1.0
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2004-01-01,352.0,350,2.0,317.0,325.0,33.0,25.0
Adelaide-Perth,Adelaide,Perth,Qantas,2004-01-01,130.0,130,0.0,121.0,125.0,9.0,5.0
Adelaide-Sydney,Adelaide,Sydney,Qantas,2004-01-01,332.0,331,1.0,313.0,323.0,18.0,8.0
Alice Springs-Sydney,Alice Springs,Sydney,Qantas,2004-01-01,33.0,33,0.0,31.0,33.0,2.0,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,2004-01-01,93.0,93,0.0,66.0,82.0,27.0,11.0
Brisbane-Cairns,Brisbane,Cairns,Qantas,2004-01-01,209.0,207,2.0,173.0,190.0,34.0,17.0
Brisbane-Canberra,Brisbane,Canberra,Qantas,2004-01-01,75.0,75,0.0,65.0,67.0,10.0,8.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,2004-01-01,46.0,46,0.0,35.0,41.0,11.0,5.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-01-01,496.0,492,4.0,410.0,427.0,82.0,65.0
Brisbane-Perth,Brisbane,Perth,Qantas,2004-01-01,62.0,62,0.0,49.0,50.0,13.0,12.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-01-01,683.0,677,6.0,576.0,595.0,101.0,82.0
Brisbane-Townsville,Brisbane,Townsville,Qantas,2004-01-01,91.0,91,0.0,76.0,75.0,15.0,16.0
Broome-Perth,Broome,Perth,Qantas,2004-01-01,29.0,29,0.0,24.0,28.0,5.0,1.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,2004-01-01,206.0,203,3.0,186.0,180.0,17.0,23.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,2004-01-01,43.0,43,0.0,34.0,38.0,9.0,5.0
Cairns-Sydney,Cairns,Sydney,Qantas,2004-01-01,135.0,134,1.0,125.0,128.0,9.0,6.0
Canberra-Adelaide,Canberra,Adelaide,Qantas,2004-01-01,52.0,52,0.0,48.0,51.0,4.0,1.0
Canberra-Brisbane,Canberra,Brisbane,Qantas,2004-01-01,75.0,75,0.0,73.0,71.0,2.0,4.0
Canberra-Melbourne,Canberra,Melbourne,Qantas,2004-01-01,199.0,199,0.0,191.0,190.0,8.0,9.0
Canberra-Sydney,Canberra,Sydney,Qantas,2004-01-01,95.0,95,0.0,88.0,90.0,7.0,5.0
Darwin-Brisbane,Darwin,Brisbane,Qantas,2004-01-01,46.0,46,0.0,43.0,36.0,3.0,10.0
Darwin-Sydney,Darwin,Sydney,Qantas,2004-01-01,32.0,32,0.0,29.0,29.0,3.0,3.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Qantas,2004-01-01,9.0,9,0.0,7.0,7.0,2.0,2.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,2004-01-01,93.0,93,0.0,68.0,76.0,25.0,17.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,2004-01-01,207.0,204,3.0,169.0,183.0,35.0,21.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,2004-01-01,43.0,43,0.0,40.0,42.0,3.0,1.0
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,2004-01-01,353.0,352,1.0,316.0,331.0,36.0,21.0
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,2004-01-01,496.0,493,3.0,438.0,435.0,55.0,58.0
Melbourne-Cairns,Melbourne,Cairns,Qantas,2004-01-01,43.0,43,0.0,37.0,40.0,6.0,3.0
Melbourne-Canberra,Melbourne,Canberra,Qantas,2004-01-01,175.0,175,0.0,151.0,158.0,24.0,17.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,2004-01-01,93.0,93,0.0,82.0,81.0,11.0,12.0
Melbourne-Perth,Melbourne,Perth,Qantas,2004-01-01,198.0,198,0.0,163.0,158.0,35.0,40.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-01-01,821.0,799,22.0,723.0,706.0,76.0,93.0
Perth-Adelaide,Perth,Adelaide,Qantas,2004-01-01,125.0,125,0.0,115.0,122.0,10.0,3.0
Perth-Brisbane,Perth,Brisbane,Qantas,2004-01-01,62.0,62,0.0,47.0,55.0,15.0,7.0
Perth-Broome,Perth,Broome,Qantas,2004-01-01,29.0,29,0.0,28.0,27.0,1.0,2.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,2004-01-01,43.0,43,0.0,41.0,41.0,2.0,2.0
Perth-Melbourne,Perth,Melbourne,Qantas,2004-01-01,203.0,203,0.0,151.0,166.0,52.0,37.0
Perth-Sydney,Perth,Sydney,Qantas,2004-01-01,173.0,173,0.0,146.0,165.0,27.0,8.0
Sydney-Adelaide,Sydney,Adelaide,Qantas,2004-01-01,332.0,331,1.0,293.0,313.0,38.0,18.0
Sydney-Alice Springs,Sydney,Alice Springs,Qantas,2004-01-01,33.0,33,0.0,27.0,33.0,6.0,0.0
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-01-01,686.0,682,4.0,614.0,599.0,68.0,83.0
Sydney-Cairns,Sydney,Cairns,Qantas,2004-01-01,132.0,132,0.0,115.0,124.0,17.0,8.0
Sydney-Canberra,Sydney,Canberra,Qantas,2004-01-01,122.0,122,0.0,113.0,114.0,9.0,8.0
Sydney-Darwin,Sydney,Darwin,Qantas,2004-01-01,32.0,32,0.0,21.0,22.0,11.0,10.0
Sydney-Gold Coast,Sydney,Gold Coast,Qantas,2004-01-01,207.0,207,0.0,192.0,187.0,15.0,20.0
Sydney-Melbourne,Sydney,Melbourne,Qantas,2004-01-01,800.0,785,15.0,683.0,708.0,102.0,77.0
Sydney-Perth,Sydney,Perth,Qantas,2004-01-01,177.0,177,0.0,155.0,142.0,22.0,35.0
Townsville-Brisbane,Townsville,Brisbane,Qantas,2004-01-01,91.0,91,0.0,80.0,78.0,11.0,13.0
Albury-Sydney,Albury,Sydney,QantasLink,2004-01-01,103.0,103,0.0,84.0,85.0,19.0,18.0
Brisbane-Cairns,Brisbane,Cairns,QantasLink,2004-01-01,15.0,15,0.0,14.0,14.0,1.0,1.0
Brisbane-Canberra,Brisbane,Canberra,QantasLink,2004-01-01,48.0,47,1.0,44.0,46.0,3.0,1.0
Brisbane-Mackay,Brisbane,Mackay,QantasLink,2004-01-01,114.0,113,1.0,104.0,104.0,9.0,9.0
Brisbane-Rockhampton,Brisbane,Rockhampton,QantasLink,2004-01-01,160.0,160,0.0,149.0,145.0,11.0,15.0
Brisbane-Sydney,Brisbane,Sydney,QantasLink,2004-01-01,1.0,1,0.0,1.0,1.0,0.0,0.0
Brisbane-Townsville,Brisbane,Townsville,QantasLink,2004-01-01,54.0,54,0.0,45.0,43.0,9.0,11.0
Broome-Perth,Broome,Perth,QantasLink,2004-01-01,42.0,41,1.0,41.0,41.0,0.0,0.0
Burnie-Melbourne,Burnie,Melbourne,QantasLink,2004-01-01,122.0,119,3.0,107.0,96.0,12.0,23.0
Cairns-Brisbane,Cairns,Brisbane,QantasLink,2004-01-01,15.0,15,0.0,14.0,15.0,1.0,0.0
Canberra-Brisbane,Canberra,Brisbane,QantasLink,2004-01-01,48.0,47,1.0,44.0,42.0,3.0,5.0
Canberra-Melbourne,Canberra,Melbourne,QantasLink,2004-01-01,78.0,75,3.0,70.0,63.0,5.0,12.0
Canberra-Sydney,Canberra,Sydney,QantasLink,2004-01-01,379.0,374,5.0,331.0,324.0,43.0,50.0
Coffs Harbour-Sydney,Coffs Harbour,Sydney,QantasLink,2004-01-01,163.0,159,4.0,140.0,136.0,19.0,23.0
Devonport-Melbourne,Devonport,Melbourne,QantasLink,2004-01-01,167.0,165,2.0,153.0,142.0,12.0,23.0
Dubbo-Sydney,Dubbo,Sydney,QantasLink,2004-01-01,85.0,85,0.0,75.0,76.0,10.0,9.0
Gold Coast-Melbourne,Gold Coast,Melbourne,QantasLink,2004-01-01,31.0,30,1.0,29.0,30.0,1.0,0.0
Gold Coast-Sydney,Gold Coast,Sydney,QantasLink,2004-01-01,36.0,36,0.0,34.0,35.0,2.0,1.0
Hobart-Melbourne,Hobart,Melbourne,QantasLink,2004-01-01,282.0,280,2.0,243.0,239.0,37.0,41.0
Kalgoorlie-Perth,Kalgoorlie,Perth,QantasLink,2004-01-01,31.0,31,0.0,28.0,28.0,3.0,3.0
Launceston-Melbourne,Launceston,Melbourne,QantasLink,2004-01-01,159.0,159,0.0,138.0,143.0,21.0,16.0
Mackay-Brisbane,Mackay,Brisbane,QantasLink,2004-01-01,114.0,113,1.0,108.0,107.0,5.0,6.0
Melbourne-Burnie,Melbourne,Burnie,QantasLink,2004-01-01,122.0,120,2.0,109.0,109.0,11.0,11.0
Melbourne-Canberra,Melbourne,Canberra,QantasLink,2004-01-01,79.0,75,4.0,74.0,72.0,1.0,3.0
Melbourne-Devonport,Melbourne,Devonport,QantasLink,2004-01-01,167.0,165,2.0,151.0,151.0,14.0,14.0
Melbourne-Gold Coast,Melbourne,Gold Coast,QantasLink,2004-01-01,31.0,31,0.0,27.0,22.0,4.0,9.0
Melbourne-Hobart,Melbourne,Hobart,QantasLink,2004-01-01,279.0,277,2.0,228.0,236.0,49.0,41.0
Melbourne-Launceston,Melbourne,Launceston,QantasLink,2004-01-01,159.0,159,0.0,131.0,133.0,28.0,26.0
Melbourne-Mildura,Melbourne,Mildura,QantasLink,2004-01-01,105.0,105,0.0,94.0,93.0,11.0,12.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,QantasLink,2004-01-01,31.0,30,1.0,25.0,24.0,5.0,6.0
Mildura-Melbourne,Mildura,Melbourne,QantasLink,2004-01-01,105.0,105,0.0,97.0,96.0,8.0,9.0
Perth-Broome,Perth,Broome,QantasLink,2004-01-01,42.0,41,1.0,41.0,41.0,0.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,QantasLink,2004-01-01,31.0,31,0.0,28.0,28.0,3.0,3.0
Rockhampton-Brisbane,Rockhampton,Brisbane,QantasLink,2004-01-01,124.0,124,0.0,119.0,118.0,5.0,6.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,QantasLink,2004-01-01,31.0,30,1.0,25.0,28.0,5.0,2.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,QantasLink,2004-01-01,79.0,77,2.0,67.0,68.0,10.0,9.0
Sydney-Albury,Sydney,Albury,QantasLink,2004-01-01,103.0,103,0.0,91.0,82.0,12.0,21.0
Sydney-Canberra,Sydney,Canberra,QantasLink,2004-01-01,380.0,378,2.0,349.0,332.0,29.0,46.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,QantasLink,2004-01-01,163.0,162,1.0,145.0,138.0,17.0,24.0
Sydney-Dubbo,Sydney,Dubbo,QantasLink,2004-01-01,85.0,85,0.0,79.0,78.0,6.0,7.0
Sydney-Gold Coast,Sydney,Gold Coast,QantasLink,2004-01-01,36.0,36,0.0,29.0,28.0,7.0,8.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,QantasLink,2004-01-01,80.0,78,2.0,68.0,68.0,10.0,10.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,QantasLink,2004-01-01,101.0,101,0.0,87.0,80.0,14.0,21.0
Townsville-Brisbane,Townsville,Brisbane,QantasLink,2004-01-01,54.0,54,0.0,46.0,46.0,8.0,8.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,QantasLink,2004-01-01,101.0,100,1.0,85.0,79.0,15.0,21.0
Albury-Sydney,Albury,Sydney,Regional Express,2004-01-01,65.0,65,0.0,64.0,61.0,1.0,4.0
Burnie-Melbourne,Burnie,Melbourne,Regional Express,2004-01-01,62.0,62,0.0,50.0,50.0,12.0,12.0
Canberra-Sydney,Canberra,Sydney,Regional Express,2004-01-01,87.0,86,1.0,81.0,79.0,6.0,8.0
Devonport-Melbourne,Devonport,Melbourne,Regional Express,2004-01-01,62.0,61,1.0,49.0,49.0,12.0,12.0
Dubbo-Sydney,Dubbo,Sydney,Regional Express,2004-01-01,75.0,75,0.0,71.0,70.0,4.0,5.0
Melbourne-Burnie,Melbourne,Burnie,Regional Express,2004-01-01,62.0,62,0.0,47.0,48.0,15.0,14.0
Melbourne-Devonport,Melbourne,Devonport,Regional Express,2004-01-01,62.0,62,0.0,49.0,49.0,13.0,13.0
Melbourne-Mildura,Melbourne,Mildura,Regional Express,2004-01-01,67.0,67,0.0,59.0,60.0,8.0,7.0
Mildura-Melbourne,Mildura,Melbourne,Regional Express,2004-01-01,67.0,67,0.0,60.0,57.0,7.0,10.0
Sydney-Albury,Sydney,Albury,Regional Express,2004-01-01,65.0,65,0.0,61.0,62.0,4.0,3.0
Sydney-Canberra,Sydney,Canberra,Regional Express,2004-01-01,87.0,85,2.0,76.0,78.0,11.0,9.0
Sydney-Dubbo,Sydney,Dubbo,Regional Express,2004-01-01,75.0,75,0.0,68.0,70.0,7.0,5.0
Sydney-Wagga Wagga,Sydney,Wagga Wagga,Regional Express,2004-01-01,66.0,66,0.0,60.0,58.0,6.0,8.0
Wagga Wagga-Sydney,Wagga Wagga,Sydney,Regional Express,2004-01-01,66.0,66,0.0,65.0,62.0,1.0,4.0
Broome-Perth,Broome,Perth,Skywest,2004-01-01,12.0,12,0.0,12.0,12.0,0.0,0.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Skywest,2004-01-01,29.0,29,0.0,28.0,28.0,1.0,1.0
Perth-Broome,Perth,Broome,Skywest,2004-01-01,12.0,12,0.0,11.0,12.0,1.0,0.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Skywest,2004-01-01,29.0,29,0.0,26.0,26.0,3.0,3.0
Adelaide-Brisbane,Adelaide,Brisbane,Virgin Australia,2004-01-01,62.0,62,0.0,42.0,35.0,20.0,27.0
Adelaide-Canberra,Adelaide,Canberra,Virgin Australia,2004-01-01,27.0,27,0.0,27.0,27.0,0.0,0.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Virgin Australia,2004-01-01,31.0,31,0.0,28.0,27.0,3.0,4.0
Adelaide-Melbourne,Adelaide,Melbourne,Virgin Australia,2004-01-01,198.0,198,0.0,161.0,162.0,37.0,36.0
Adelaide-Perth,Adelaide,Perth,Virgin Australia,2004-01-01,61.0,61,0.0,48.0,43.0,13.0,18.0
Adelaide-Sydney,Adelaide,Sydney,Virgin Australia,2004-01-01,154.0,154,0.0,143.0,142.0,11.0,12.0
Alice Springs-Sydney,Alice Springs,Sydney,Virgin Australia,2004-01-01,30.0,30,0.0,30.0,30.0,0.0,0.0
Brisbane-Adelaide,Brisbane,Adelaide,Virgin Australia,2004-01-01,62.0,62,0.0,57.0,58.0,5.0,4.0
Brisbane-Cairns,Brisbane,Cairns,Virgin Australia,2004-01-01,93.0,93,0.0,78.0,82.0,15.0,11.0
Brisbane-Canberra,Brisbane,Canberra,Virgin Australia,2004-01-01,62.0,62,0.0,54.0,51.0,8.0,11.0
Brisbane-Darwin,Brisbane,Darwin,Virgin Australia,2004-01-01,31.0,31,0.0,22.0,24.0,9.0,7.0
Brisbane-Mackay,Brisbane,Mackay,Virgin Australia,2004-01-01,61.0,61,0.0,51.0,50.0,10.0,11.0
Brisbane-Melbourne,Brisbane,Melbourne,Virgin Australia,2004-01-01,301.0,300,1.0,256.0,259.0,44.0,41.0
Brisbane-Perth,Brisbane,Perth,Virgin Australia,2004-01-01,31.0,31,0.0,19.0,23.0,12.0,8.0
Brisbane-Rockhampton,Brisbane,Rockhampton,Virgin Australia,2004-01-01,31.0,31,0.0,28.0,27.0,3.0,4.0
Brisbane-Sydney,Brisbane,Sydney,Virgin Australia,2004-01-01,475.0,469,6.0,393.0,395.0,76.0,74.0
Brisbane-Townsville,Brisbane,Townsville,Virgin Australia,2004-01-01,71.0,71,0.0,48.0,48.0,23.0,23.0
Cairns-Brisbane,Cairns,Brisbane,Virgin Australia,2004-01-01,93.0,93,0.0,87.0,85.0,6.0,8.0
Cairns-Melbourne,Cairns,Melbourne,Virgin Australia,2004-01-01,60.0,60,0.0,43.0,45.0,17.0,15.0
Cairns-Sydney,Cairns,Sydney,Virgin Australia,2004-01-01,72.0,72,0.0,72.0,70.0,0.0,2.0
Canberra-Adelaide,Canberra,Adelaide,Virgin Australia,2004-01-01,26.0,26,0.0,23.0,24.0,3.0,2.0
Canberra-Brisbane,Canberra,Brisbane,Virgin Australia,2004-01-01,62.0,62,0.0,62.0,60.0,0.0,2.0
Canberra-Melbourne,Canberra,Melbourne,Virgin Australia,2004-01-01,61.0,61,0.0,53.0,50.0,8.0,11.0
Canberra-Sydney,Canberra,Sydney,Virgin Australia,2004-01-01,31.0,31,0.0,29.0,28.0,2.0,3.0
Coffs Harbour-Sydney,Coffs Harbour,Sydney,Virgin Australia,2004-01-01,31.0,31,0.0,23.0,22.0,8.0,9.0
Darwin-Brisbane,Darwin,Brisbane,Virgin Australia,2004-01-01,31.0,31,0.0,27.0,26.0,4.0,5.0
Darwin-Sydney,Darwin,Sydney,Virgin Australia,2004-01-01,21.0,21,0.0,13.0,16.0,8.0,5.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Virgin Australia,2004-01-01,31.0,31,0.0,28.0,28.0,3.0,3.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Virgin Australia,2004-01-01,155.0,155,0.0,120.0,124.0,35.0,31.0
Gold Coast-Sydney,Gold Coast,Sydney,Virgin Australia,2004-01-01,208.0,208,0.0,172.0,178.0,36.0,30.0
Hobart-Melbourne,Hobart,Melbourne,Virgin Australia,2004-01-01,124.0,124,0.0,97.0,86.0,27.0,38.0
Launceston-Melbourne,Launceston,Melbourne,Virgin Australia,2004-01-01,96.0,96,0.0,78.0,81.0,18.0,15.0
Mackay-Brisbane,Mackay,Brisbane,Virgin Australia,2004-01-01,61.0,61,0.0,53.0,51.0,8.0,10.0
Melbourne-Adelaide,Melbourne,Adelaide,Virgin Australia,2004-01-01,201.0,201,0.0,160.0,149.0,41.0,52.0
Melbourne-Brisbane,Melbourne,Brisbane,Virgin Australia,2004-01-01,301.0,300,1.0,240.0,227.0,60.0,73.0
Melbourne-Cairns,Melbourne,Cairns,Virgin Australia,2004-01-01,60.0,60,0.0,49.0,47.0,11.0,13.0
Melbourne-Canberra,Melbourne,Canberra,Virgin Australia,2004-01-01,61.0,61,0.0,56.0,51.0,5.0,10.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Virgin Australia,2004-01-01,155.0,155,0.0,116.0,111.0,39.0,44.0
Melbourne-Hobart,Melbourne,Hobart,Virgin Australia,2004-01-01,124.0,124,0.0,99.0,100.0,25.0,24.0
Melbourne-Launceston,Melbourne,Launceston,Virgin Australia,2004-01-01,96.0,96,0.0,75.0,81.0,21.0,15.0
Melbourne-Perth,Melbourne,Perth,Virgin Australia,2004-01-01,124.0,124,0.0,104.0,91.0,20.0,33.0
Melbourne-Sunshine Coast,Melbourne,Sunshine Coast,Virgin Australia,2004-01-01,31.0,31,0.0,25.0,24.0,6.0,7.0
Melbourne-Sydney,Melbourne,Sydney,Virgin Australia,2004-01-01,562.0,559,3.0,481.0,474.0,78.0,85.0
Perth-Adelaide,Perth,Adelaide,Virgin Australia,2004-01-01,61.0,61,0.0,56.0,56.0,5.0,5.0
Perth-Brisbane,Perth,Brisbane,Virgin Australia,2004-01-01,31.0,31,0.0,29.0,31.0,2.0,0.0
Perth-Melbourne,Perth,Melbourne,Virgin Australia,2004-01-01,124.0,124,0.0,110.0,111.0,14.0,13.0
Perth-Sydney,Perth,Sydney,Virgin Australia,2004-01-01,124.0,124,0.0,107.0,119.0,17.0,5.0
Rockhampton-Brisbane,Rockhampton,Brisbane,Virgin Australia,2004-01-01,31.0,31,0.0,28.0,28.0,3.0,3.0
Sunshine Coast-Melbourne,Sunshine Coast,Melbourne,Virgin Australia,2004-01-01,31.0,31,0.0,22.0,29.0,9.0,2.0
Sunshine Coast-Sydney,Sunshine Coast,Sydney,Virgin Australia,2004-01-01,50.0,50,0.0,41.0,43.0,9.0,7.0
Sydney-Adelaide,Sydney,Adelaide,Virgin Australia,2004-01-01,151.0,151,0.0,137.0,133.0,14.0,18.0
Sydney-Alice Springs,Sydney,Alice Springs,Virgin Australia,2004-01-01,30.0,30,0.0,25.0,29.0,5.0,1.0
Sydney-Brisbane,Sydney,Brisbane,Virgin Australia,2004-01-01,476.0,469,7.0,402.0,393.0,67.0,76.0
Sydney-Cairns,Sydney,Cairns,Virgin Australia,2004-01-01,72.0,72,0.0,66.0,69.0,6.0,3.0
Sydney-Canberra,Sydney,Canberra,Virgin Australia,2004-01-01,31.0,31,0.0,29.0,29.0,2.0,2.0
Sydney-Coffs Harbour,Sydney,Coffs Harbour,Virgin Australia,2004-01-01,31.0,31,0.0,25.0,23.0,6.0,8.0
Sydney-Darwin,Sydney,Darwin,Virgin Australia,2004-01-01,22.0,22,0.0,19.0,18.0,3.0,4.0
Sydney-Gold Coast,Sydney,Gold Coast,Virgin Australia,2004-01-01,208.0,208,0.0,165.0,164.0,43.0,44.0
Sydney-Melbourne,Sydney,Melbourne,Virgin Australia,2004-01-01,565.0,562,3.0,494.0,503.0,68.0,59.0
Sydney-Perth,Sydney,Perth,Virgin Australia,2004-01-01,124.0,124,0.0,102.0,97.0,22.0,27.0
Sydney-Sunshine Coast,Sydney,Sunshine Coast,Virgin Australia,2004-01-01,50.0,50,0.0,48.0,45.0,2.0,5.0
Townsville-Brisbane,Townsville,Brisbane,Virgin Australia,2004-01-01,71.0,71,0.0,57.0,54.0,14.0,17.0
Adelaide-Brisbane,Adelaide,Brisbane,Qantas,2004-02-01,87.0,87,0.0,85.0,83.0,2.0,4.0
Adelaide-Canberra,Adelaide,Canberra,Qantas,2004-02-01,45.0,45,0.0,42.0,42.0,3.0,3.0
Adelaide-Gold Coast,Adelaide,Gold Coast,Qantas,2004-02-01,9.0,9,0.0,8.0,8.0,1.0,1.0
Adelaide-Melbourne,Adelaide,Melbourne,Qantas,2004-02-01,332.0,332,0.0,317.0,319.0,15.0,13.0
Adelaide-Perth,Adelaide,Perth,Qantas,2004-02-01,120.0,120,0.0,111.0,117.0,9.0,3.0
Adelaide-Sydney,Adelaide,Sydney,Qantas,2004-02-01,292.0,292,0.0,284.0,282.0,8.0,10.0
Alice Springs-Sydney,Alice Springs,Sydney,Qantas,2004-02-01,29.0,29,0.0,28.0,28.0,1.0,1.0
Brisbane-Adelaide,Brisbane,Adelaide,Qantas,2004-02-01,87.0,87,0.0,76.0,86.0,11.0,1.0
Brisbane-Cairns,Brisbane,Cairns,Qantas,2004-02-01,174.0,173,1.0,156.0,168.0,17.0,5.0
Brisbane-Canberra,Brisbane,Canberra,Qantas,2004-02-01,87.0,87,0.0,82.0,84.0,5.0,3.0
Brisbane-Darwin,Brisbane,Darwin,Qantas,2004-02-01,38.0,38,0.0,34.0,35.0,4.0,3.0
Brisbane-Melbourne,Brisbane,Melbourne,Qantas,2004-02-01,438.0,438,0.0,425.0,428.0,13.0,10.0
Brisbane-Perth,Brisbane,Perth,Qantas,2004-02-01,58.0,58,0.0,53.0,55.0,5.0,3.0
Brisbane-Sydney,Brisbane,Sydney,Qantas,2004-02-01,608.0,604,4.0,561.0,547.0,43.0,57.0
Brisbane-Townsville,Brisbane,Townsville,Qantas,2004-02-01,87.0,87,0.0,81.0,79.0,6.0,8.0
Broome-Perth,Broome,Perth,Qantas,2004-02-01,29.0,28,1.0,19.0,22.0,9.0,6.0
Cairns-Brisbane,Cairns,Brisbane,Qantas,2004-02-01,174.0,173,1.0,170.0,167.0,3.0,6.0
Cairns-Melbourne,Cairns,Melbourne,Qantas,2004-02-01,29.0,29,0.0,26.0,28.0,3.0,1.0
Cairns-Sydney,Cairns,Sydney,Qantas,2004-02-01,116.0,115,1.0,107.0,109.0,8.0,6.0
Canberra-Adelaide,Canberra,Adelaide,Qantas,2004-02-01,45.0,45,0.0,43.0,44.0,2.0,1.0
Canberra-Brisbane,Canberra,Brisbane,Qantas,2004-02-01,87.0,87,0.0,82.0,82.0,5.0,5.0
Canberra-Melbourne,Canberra,Melbourne,Qantas,2004-02-01,230.0,230,0.0,215.0,217.0,15.0,13.0
Canberra-Sydney,Canberra,Sydney,Qantas,2004-02-01,132.0,132,0.0,123.0,121.0,9.0,11.0
Darwin-Brisbane,Darwin,Brisbane,Qantas,2004-02-01,37.0,37,0.0,34.0,34.0,3.0,3.0
Darwin-Sydney,Darwin,Sydney,Qantas,2004-02-01,29.0,28,1.0,27.0,27.0,1.0,1.0
Gold Coast-Adelaide,Gold Coast,Adelaide,Qantas,2004-02-01,9.0,9,0.0,8.0,9.0,1.0,0.0
Gold Coast-Melbourne,Gold Coast,Melbourne,Qantas,2004-02-01,87.0,86,1.0,80.0,83.0,6.0,3.0
Gold Coast-Sydney,Gold Coast,Sydney,Qantas,2004-02-01,129.0,128,1.0,118.0,119.0,10.0,9.0
Kalgoorlie-Perth,Kalgoorlie,Perth,Qantas,2004-02-01,45.0,44,1.0,33.0,36.0,11.0,8.0
Melbourne-Adelaide,Melbourne,Adelaide,Qantas,2004-02-01,336.0,335,1.0,321.0,327.0,14.0,8.0
Melbourne-Brisbane,Melbourne,Brisbane,Qantas,2004-02-01,442.0,441,1.0,423.0,423.0,18.0,18.0
Melbourne-Cairns,Melbourne,Cairns,Qantas,2004-02-01,29.0,29,0.0,28.0,28.0,1.0,1.0
Melbourne-Canberra,Melbourne,Canberra,Qantas,2004-02-01,201.0,201,0.0,183.0,190.0,18.0,11.0
Melbourne-Gold Coast,Melbourne,Gold Coast,Qantas,2004-02-01,87.0,87,0.0,85.0,86.0,2.0,1.0
Melbourne-Perth,Melbourne,Perth,Qantas,2004-02-01,161.0,161,0.0,146.0,143.0,15.0,18.0
Melbourne-Sydney,Melbourne,Sydney,Qantas,2004-02-01,812.0,807,5.0,749.0,735.0,58.0,72.0
Perth-Adelaide,Perth,Adelaide,Qantas,2004-02-01,116.0,116,0.0,110.0,111.0,6.0,5.0
Perth-Brisbane,Perth,Brisbane,Qantas,2004-02-01,58.0,58,0.0,54.0,51.0,4.0,7.0
Perth-Broome,Perth,Broome,Qantas,2004-02-01,29.0,28,1.0,20.0,20.0,8.0,8.0
Perth-Kalgoorlie,Perth,Kalgoorlie,Qantas,2004-02-01,45.0,44,1.0,40.0,41.0,4.0,3.0
Perth-Melbourne,Perth,Melbourne,Qantas,2004-02-01,165.0,165,0.0,136.0,140.0,29.0,25.0
Perth-Sydney,Perth,Sydney,Qantas,2004-02-01,141.0,140,1.0,123.0,129.0,17.0,11.0
Sydney-Adelaide,Sydney,Adelaide,Qantas,2004-02-01,292.0,292,0.0,270.0,285.0,22.0,7.0
Sydney-Alice Springs,Sydney,Alice Springs,Qantas,2004-02-01,29.0,29,0.0,29.0,29.0,0.0,0.0
Sydney-Brisbane,Sydney,Brisbane,Qantas,2004-02-01,604.0,600,4.0,562.0,558.0,38.0,42.0
Sydney-Cairns,Sydney,Cairns,Qantas,2004-02-01,116.0,116,0.0,102.0,111.0,14.0,5.0
Sydney-Canberra,Sydney,Canberra,Qantas,2004-02-01,161.0,161,0.0,145.0,150.0,16.0,11.0
Sydney-Darwin,Sydney,Darwin,Qantas,2004-02-01,29.0,28,1.0,26.0,26.0,2.0,2.0
