serial_number,activity_date,name,score,grade,facility_address,facility_zip,owner_id,owner_name,pe_description,risk_level
DAPH9V6SH,7/1/2015,EL ANTOJITO,86,,12730 S FIGUEROA ST STE 104-5,90016,OW0001824,"AGUILAR, JOSE",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAAGGZ0S0,7/1/2015,KIMCHI PLUS,90,,1144 S WESTERN AVE #102,90006,OW0180942,"KIMCHI PLUS, INC","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",MODERATE
DAHRBAPUW,7/1/2015,PRAEL THAI RESTAURANT,90,,4620 MELROSE AVE,90029,OW0034196,"SUJARITKIJPHAISAN, AMNAJ",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAIJIPC7R,7/1/2015,KATSUYA,91,,11777 SAN VICENTE BLVD,90049,OW0018550,"KATSU USA, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAK3OXPB7,7/1/2015,THE SIX,91,,10668 W PICO BLVD,90064,OW0023709,MASA ORGANIC LLC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAIAYQAZG,7/1/2015,LITTLE FARMERS MARKET,92,,619 S ATLANTIC BLVD,90022,OW0007603,CHIN'S BROTHERS CORP,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",HIGH
DAFOCBEES,7/1/2015,LULUS CAFE,92,,7149 BEVERLY BLVD,90036,OW0022508,LULUS CAFE INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAWXZBC2S,7/1/2015,SUSHI KOO,92,,8474 W 3RD ST STE #106,90048,OW0026338,NOYON INC.,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA41ITTXA,7/1/2015,MCDONALD'S #26929,92,,5008 N FIGUEROA ST,90042,OW0027092,P. R. PERNECKY MANAGEMENT,RESTAURANT (61-150) SEATS MODERATE RISK,MODERATE
DASN4EKRV,7/1/2015,BEVERLY ELITE CAFE,92,,7115 BEVERLY BLVD,90036,OW0024712,MOBEEUS INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA0364641,7/1/2015,YEN SUSHI & SAKE BAR,93,,9618 W PICO BLVD STE 509,90035,OW0023835,"MAYC CENTURY, INC.",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA0EUDHJY,7/1/2015,CHAO KRUNG,94,,111 N FAIRFAX AVE,90036,OW0020081,KUNTEE SUPA,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAW0ZLIMY,7/1/2015,EL POLLO LOCO #5902,94,,5300 W CENTINELA AVE,90045,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DADLXIVT1,7/1/2015,FISH GRILL,94,,7226 BEVERLY BLVD,90036,OW0019739,KLEIN ROBERT,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DANDORFX9,7/1/2015,LOS COMPADRES,94,,2031 S CENTRAL AVE,90011,OW0021654,"LEZAMA, LORENZO",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAPISJLMG,7/1/2015,OTOMI RESTAURANT,94,,2506 1/2 E 1ST ST,90033,OW0038489,WATANABE YAYOI   (OTOMI RESTAURANT),RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAMFW0ZHS,7/1/2015,TOMATILLO MEXICAN GRILL & BBQ,94,,3435 WILSHIRE BLVD STE 108,90010,OW0126740,"MURRAY MOUNTAIN, INC",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAZQ2WMXZ,7/1/2015,TENDER GREENS,95,,13455 MAXELLA AVE #210,90292,OW0179061,T.Y.P. RESTAURANT GROUP INC.,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA3WGQELG,7/1/2015,ELITE CUISINE,95,,7119 BEVERLY BLVD,90036,OW0013261,GINGER ROOT INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAM9XHJ5U,7/1/2015,SUBWAY SANDWICH #18772,95,,2590 GLENDALE BLVD,90039,OW0005591,C G INVESTMENTS INC,RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DAG6699UO,7/1/2015,QUIZNO'S SUB HOLLYWOOD,95,,6767 W SUNSET BLVD STE 1A,90028,OW0035161,"TE BROS, LLC",RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DAL5J0I00,7/1/2015,DOMINO'S PIZZA #8244,96,,7125 BEVERLY BLVD,90036,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA0366335,7/1/2015,ORIGINAL NORTHEND PIZZERIA,96,,8514 W 3RD ST,90048,OW0026900,"ORIGINAL NORTHEND PIZZERIA,",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA0366355,7/1/2015,MIKA SUSHI,96,,8510 W 3RD ST,90048,OW0014703,HANADUL SUSHI CORP,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0366375,7/1/2015,BEVERLY FALAFEL,96,,8508 W 3RD ST,90048,OW0004590,"BEVERLY FALAFEL, INC",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DATP1AWP7,7/1/2015,MARKET PROVISIONS,96,,8009 BEVERLY BLVD,90048,OW0036561,TRITRI FOODS INC.,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DASK7KIKW,7/1/2015,JAVISTA ORGANIC COFFEE BAR,98,,6707 W SUNSET BLVD,90028,OW0126889,"JAVISTA, INC.",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA58VMU20,7/1/2015,SUPER DOLLAR #6,98,,2220 S CENTRAL AVE,90011,OW0011878,FIRST LCH CORPORATION,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAFYXH8TK,7/1/2015,CBS EXECUTIVE KITCHEN,99,,7800 BEVERLY BLVD,90036-2112,OW0105343,CBS,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAURZB0MD,7/2/2015,THE SANDWICH BAR,83,,606 S OLIVE ST STE #101,90014,OW0036775,TYC HOLDINGS LLC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA2LGN6SY,7/2/2015,JUICE BAR,84,,2080 HILLHURST AVE,90027,OW0020845,LASSENS PETER,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAI5RIDIC,7/2/2015,ATLANTIC LIQUOR,87,,1010 S ATLANTIC BLVD,90022,OW0036041,"TNS ENTERPRISES, INC.","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DARD07ZGO,7/2/2015,WESTERN DOMA NOODLES,90,,429 N WESTERN AVE STE 10,90004,OW0003738,"BAIK, MI OK",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA0HPJE0D,7/2/2015,PALOMA MARKET,90,,4075 S MAIN ST,90037,OW0181065,JUANA DOMINGUEZ  SALVADOR,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DATSRFYXP,7/2/2015,KORNER GRILL,90,,4206 FOUNTAIN AVE,90029,OW0005906,"CAMACHO, JESUS J",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAIXICFSH,7/2/2015,BOOKS & CAFE,91,,3760 CENTINELA AVE,90066,OW0024649,MITSUWA CORPORATION,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DA4V1I2B1,7/2/2015,ANTIQUE CAFE,91,,3465 W 6TH ST # 160,90020,OW0180380,SANGHEE HAN,RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DACH57HPC,7/2/2015,BANG NA,91,,637 N SPRING ST,90012,OW0178521,BARBARA SLIP LLC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DACH4TGOW,7/2/2015,BERRIS KITCHEN,92,,11078 SANTA MONICA BLVD,90025,OW0129074,"BERRIS PIZZA WESTWOOD, INC",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAYG5MRTL,7/2/2015,VONS MARKET #3263,92,,1342 N ALVARADO ST,90026,OW0038181,THE VONS COMPANIES INC.,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA7DT6WQT,7/2/2015,MARISCOS CHENTE,93,,4532 S CENTINELA AVE,90066,OW0012836,"GARCIA, MAGDALENA",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA5PLJ3HF,7/2/2015,SMART DOLLAR AND UP,93,,1018 S ATLANTIC BLVD,90022,OW0031526,"SANCHEZ-FLORES, CIRILO","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAW4EWVCT,7/2/2015,THE GREAT AMERICAN GRILL & B,94,,2005 N HIGHLAND AVE,90068,OW0030309,RLJ 111 HGN HOLLYWOOD LESSEE,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAZ5INCVP,7/2/2015,GREEN BLATTS,94,,8019 W SUNSET BLVD,90046,OW0018585,KAVIN ROY INC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAXIFSNHS,7/2/2015,R & A SNACK,94,,850 S BROADWAY,90014,OW0007653,"CHO, CHRISTINE J","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",MODERATE
DAVAOQKKS,7/2/2015,JACK IN THE BOX # 335,95,,2521 PASADENA AVE,90031,OW0025809,"NEMATZADEH ENTERPRISES, INC.",RESTAURANT (61-150) SEATS MODERATE RISK,MODERATE
DAV6ATWGK,7/2/2015,PONCHIK FACTORY,95,,6601 W SUNSET BLVD,90028,OW0005082,"BOTTLE SERVICE, INC.",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0WXI2IU,7/2/2015,KINGS ROAD BAR/CAFE INC,95,,8361 BEVERLY BLVD,90048,OW0019654,KINGS ROAD BAR/CAFE INC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DADREZMX6,7/2/2015,TONY'S MARKET,96,,4301 S BROADWAY ST,90037,OW0181021,TONY'S MARKET,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DATOJORK5,7/2/2015,LA PLANCHA,96,,2814 W 9TH ST,90006,OW0104837,"MOLINA, JOSE MILTON",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAZC0HIVS,7/2/2015,JOHNNY ROCKETS #1,96,,7507 MELROSE AVE,90046,OW0035619,THE JOHNY ROCKETS GROUP INC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA5XRCYRJ,7/2/2015,DOMINOS PIZZA,96,,520 W AVENUE 26 # #B,90065,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAKHDNKYS,7/2/2015,SAKURA RESTAURANT,97,,4545 S CENTINELA AVE,90066,OW0036339,"TOYA, JANIS",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAJY3QITO,7/2/2015,ROSA'S KITCHEN,97,,1201 W OLYMPIC BLVD,90015-3905,OW0106051,SANCHEZ ROSA MARIA,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA0378037,7/2/2015,L KITCHEN,100,,952 GAYLEY AVE,90024,OW0180847,"FIVE TIGERS, LLC",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAYKNXEHO,7/6/2015,NEW PANDA BUFFET,81,,5120 RODEO RD,90016,OW0100335,FOUR ISLAND US INC.,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DA3OOTIWG,7/6/2015,BOK DUK BONG BAKERY,83,,476 N WESTERN AVE,90004,OW0022660,M & M BAKERY INC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DABX3LBYV,7/6/2015,KOREAN BBQ PLUS,90,,404 S FIGUEROA ST STE #409,90071,OW0027274,PAIK JOANNE K.,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAEYBOUTZ,7/6/2015,BONAVENTURE BREWING CO REST,90,,404 S FIGUEROA ST STE 418A,90017,OW0004998,BONAVENTURE BREWING CO REST,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAZPY5XVS,7/6/2015,TAQUERIA LA CARRETA,90,,1471 E VERNON AVE,90011,OW0009986,"DIAZ, ENRIQUE",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAFMKFVOG,7/6/2015,PATTAYA THAI RESTAURANT,90,,1727 N VERMONT AVE STE 103,90027,OW0129450,UMA SRITHONGJOI,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAYLSRS0N,7/6/2015,LOTERIA GRILL HOLLYWOOD,90,,6627 HOLLYWOOD BLVD,90028,OW0022308,LOTERIA GRILL HOLLYWOOD,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAYT6AETP,7/6/2015,HWANG HAE DOE RESTAURANT,90,,429 N WESTERN AVE STE 7,90004,OW0006863,"CHAE, SUN YI",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAZOZ0SXO,7/6/2015,MOISHE'S,91,,6333 W 3RD ST 336,90036,OW0003092,AROYAN MOVSES,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0OK6RHX,7/6/2015,TAQUERIA  EL SARAPE,92,,2522 1/2 E 1ST ST,90033,OW0033439,SOLIS ISAURO,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAZWVTFYJ,7/6/2015,EL DELFIN RESTAURANT,92,,1800 S CENTRAL AVE,90021,OW0010825,"EL DELFIN RESTAURANT, INC.",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA4XXVVN1,7/6/2015,1ST STREET BURGERS,92,,3737 E 1ST ST,90063,OW0027536,"PAPAVASILION,SOTIRIOS&ANDREW",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DABMGDIKN,7/6/2015,MAGEE'S KITCHEN,93,,6333 3RD ST,90036,OW0022850,"MAGEE,S B AND P H ET AL",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAXTY0EON,7/6/2015,THAI DELIGHT RESTAURANT,93,,186 S VERMONT AVE,90004,OW0039357,"WUTHICHINDA, SAMRUAI",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAXE2B50E,7/6/2015,CABO CANTINA,94,,6669 HOLLYWOOD BLVD,90028,OW0006594,CC HLWD LLC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAOBLWGB0,7/6/2015,LARIOS BAKERY,95,,2206 CENTRAL ST,90011-1239,OW0124395,LARISO BAKERY,RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DALLRLMWN,7/6/2015,BROTHER'S SANDWICH SHOP,95,,3274 W 6TH ST,90020,OW0181087,"SUHKIM ENTERPRISES, LLC",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DARZSVWWR,7/6/2015,JONS MARKET#1,95,,3667 W 3RD ST,90020,OW0004431,BERBERIAN ENTERPRISES,"FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",HIGH
DAHRCPEKO,7/6/2015,SUNNY'S GIFT & SNACK SHOP,96,,3341 WILSHIRE BLVD,90010,OW0039810,"YOO, BONG SEOB","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAFIDZN7A,7/6/2015,EL POLLO LOCO,96,,2000 E CESAR E CHAVEZ AVE,90033,OW0024560,"MINOVITZ, CARY STEPHEN",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA70FSJ0C,7/6/2015,BOTELLO'S MARKET,96,,5301 E BEVERLY BLVD,90022-2103,OW0129253,JOSE CARMERN BOTELLO,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DANCI0ZIT,7/6/2015,TOOFER ENTERPRISES,96,,5857 E WHITTIER BLVD,90022,OW0036183,TOOFER ENTERPRISES,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAO8KWPT0,7/6/2015,JONS MARKET#1,96,,3667 W 3RD ST,90020,OW0004431,BERBERIAN ENTERPRISES,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",HIGH
DAI4WYT0L,7/6/2015,BEVERLY DAIRY,98,,5650 E BEVERLY BLVD,90222,OW0027766,"PARK, HUNG S & MI OK","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAVHNAJMG,7/6/2015,7-ELEVEN,99,,6033 WHITTIER BLVD,90022,OW0013553,"GOLIAN, HOOMAN","FOOD MKT RETAIL (2,000+ SF) LOW RISK",LOW
DAB08Q6JB,7/6/2015,CHICKS PERFUMES COSMETICS & BEAUTY SUPPLY,99,,3425 E 1ST ST # 2123,90063-2913,OW0130564,ENRIQUE MENDOZA,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DA5K0RFDU,7/6/2015,REMEDIOS HOLISTICOS,99,,3425 E 1ST ST # 130A,90063-2913,OW0180624,MISNORALBA I. RAMIREZ,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAZXYYXDY,7/7/2015,RINCON GUAHACO RESTAURANT,80,,2015 W 7TH ST,90057,OW0002371,"ALVAREZ, LUPE",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAAAJSV6Q,7/7/2015,LOS COMPADRES RESTAURANT,83,,4483 E WHITTIER BLVD,90022,OW0002234,"ALMANSA, JOSE",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA5N82QTT,7/7/2015,CARNITAS MICHOACAN,90,,741 S SOTO ST,90023,OW0029769,"RAYA, RICHARD",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAJZRISAZ,7/7/2015,URBAN GARDEN,90,,7563 BEVERLY BLVD,90036,OW0103991,EAT URBAN GARDEN - LLC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0PRUVXB,7/7/2015,WAKO DONKASU,90,,3377 WILSHIRE BLVD STE 112,90010,OW0027780,"PARK, JAE YOUNG",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAJX4QRFA,7/7/2015,MARTY'S SANDWICH STAND,90,,10558 W PICO BLVD,90064,OW0016444,HOWARD BASSMAN,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAP56WJ2K,7/7/2015,EL NICA RESTAURANT,90,,2212 W PICO BLVD,90006,OW0018070,"JUAREZ,TERESA",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAE964PEL,7/7/2015,CACTUS MEXICAN FOOD #2,90,,4370 BEVERLY BLVD,90004,OW0032891,"SILVA, MARTHA",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAJ211MD0,7/7/2015,L.A. YIMONE,90,,304 N WESTERN AVE,90004,OW0034199,SUK HYO S,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAQ9YLBYT,7/7/2015,TAQUERIA LA QUESILLENA,91,,3630 E CESAR CHAVEZ AVE,90063,OW0013757,GONZALEZ JOSE RUIZ,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0RQTFES,7/7/2015,LA VALENTINA GRILL,91,,2717 S VERMONT AVE,90007,OW0022116,LOPEZ EDUARDO,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAEN9PNP8,7/7/2015,KOKIO CHICKEN,91,,371 N WESTERN AVE,90004,OW0106831,KOKIO CHICKEN LLC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAPZGUYUV,7/7/2015,THAI DAILY B B Q,91,,3552 E CESAR E CHAVEZ AVE,90063,OW0006896,"CHAISWAT, DAUNCHAY",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAECNX3P6,7/7/2015,LAZY DAISY CAFE,92,,11913 WILSHIRE BLVD,90025,OW0020943,LAZY DAISY CAFE INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAR3TGOKP,7/7/2015,TERRONI,92,,7605 BEVERLY BLVD,90036,OW0005596,"C S MAX HOLDINGS, INC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAGCWJD81,7/7/2015,CALIFORNIA GOURMET KITCHEN,92,,400 WORLD WAY,90045-5888,OW0105940,CALIFORNIA GOURMET KITCH INC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAMDRXM9D,7/7/2015,SIMON'S BURGERS,92,,830 E WASHINGTON BLVD STE 6,90021,OW0029649,"RAMOS, RAFAEL DEMECIO",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAM6GPE0O,7/7/2015,BIG TOMY'S,92,,11289 W PICO BLVD,90064,OW0181008,BIG TOMY'S INC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DABFBWQAX,7/7/2015,DOS BURRITOS,93,,6328 HOLLYWOOD BLVD,90028,OW0024192,"MENDEZ, ALEJANDRO SALVADOR",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAIGZ7FHE,7/7/2015,BOBA TIME,93,,125 N WESTERN AVE STE 103,90004,OW0027293,"PAK, UNMI",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DADWNUIZU,7/7/2015,SASABUNE,93,,11917 WILSHIRE BLVD,90025,OW0101240,"SASABUNE, INC.",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAAPL1QCY,7/7/2015,WAHOO'S FISH TACO,94,,11911 WILSHIRE BLVD,90025,OW0021189,"LEE, EDWARDO",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAD073BN1,7/7/2015,TAQUERIA SANCHEZ,95,,4541 S CENTINELA AVE,90066,OW0031595,"SANCHEZ, RAUL",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAWORSUF7,7/7/2015,OLYNPIAN BURGERS,95,,2701 S VERMONT AVE,90007,OW0027527,"PAPACHRISTOS, IOANNIS G",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DARXLMHNN,7/7/2015,CAFE GIVERNY,95,,252 S OXFORD AVE,90004,OW0128501,GORG USA CORP.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DARKSF08U,7/7/2015,CAFE BRASIL,95,,11736 W WASHINGTON BLVD,90066,OW0005692,CAFE BRASIL LLC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA6VNPU00,7/7/2015,BON APPETIT MANAGEMENT CO,95,,555 S FLOWER ST # 13FL,90071-2300,OW0105985,BON APPETIT  MANAGEMENT CO,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAPQG3PKQ,7/7/2015,ANGELINI OSTERIA,95,,7313 BEVERLY BLVD,90036,OW0023974,"MCLAURY, ELIZABETH J",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAPYZZGBX,7/7/2015,JUICE BAR,95,,2080 HILLHURST AVE,90027,OW0020845,LASSENS PETER,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAXD1IRIV,7/7/2015,CAFE HOME,95,,3377 WILSHIRE BLVD STE 109,90010,OW0027291,"PAK, SOOK YANG",RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DARDIYASE,7/7/2015,SALADFARM,96,,11047 SANTA MONICA BLVD,90025,OW0031268,"SALADFARM, INC",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAW1MFLIM,7/7/2015,DEL REY KITCHEN,96,,12740 CULVER BLVD #B,90066,OW0100450,"YEE, MICHAEL & YOKOMORI, SATORY",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DALBBXTMC,7/7/2015,PANDA EXPRESS #948,96,,4947 EAGLE ROCK BLVD,90041,OW0027458,PANDA EXPRESS INC.,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DA4OWYXO0,7/7/2015,ITA-CHO,96,,7311 BEVERLY BLVD,90036,OW0001196,7311 RESTAURANT GROUP LLC.,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA0TFQTOI,7/7/2015,PATINA RESTAURANT GROUP LLC,97,,400 S HOPE ST FL 22,90071-2823,OW0106092,PATINA RESTAURANT GROUP LLC,RESTAURANT (0-30) SEATS LOW RISK,LOW
DAIHQPF08,7/7/2015,EUREST CANTEEN GAS CO,97,,555 W 5TH ST,90013-1010,OW0106362,EUREST CORPORATION,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DANZVK0VA,7/7/2015,O'MELVENY & MYERS LLP,98,,400 S HOPE ST # 18FL,90071-2801,OW0106086,O'MELVENY & MYERS LLP,RESTAURANT (61-150) SEATS LOW RISK,LOW
DA4PILPDC,7/7/2015,BERRY QUE,99,,1707 N LAS PALMAS AVE,90028,OW0177978,BERRY QUE,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA0478835,7/7/2015,BELLA PITA,100,,960 GAYLEY AVE,90024,OW0004294,BELLA PITA INC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAZ402IMI,7/7/2015,SAN MARCOS TORTILLERIA,100,,1929 E 1ST ST,90033-3412,OW0106596,"GARCIA,GREGORIO ALBARADO","FOOD MKT RETAIL (25-1,999 SF) HIGH RISK",HIGH
DASQLF8NM,7/8/2015,JOOM BANGKOK CAFE,81,,7825 BEVERLY BLVD STE # 2,90036,OW0019860,"KONGCHAREON, JOOMPONG COKE",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAKPMCF73,7/8/2015,ROLL CAKE FACTORY INC.,86,,936 N WESTERN AVE,90029,OW0036177,TONY KUN LEE,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DATO50LS0,7/8/2015,HOWARD'S BIG BURGER,87,,11127 VENICE BLVD,90016,OW0101938,"LIRA, NORMA",RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DARAHZ9GL,7/8/2015,BOMBAY CAFE,87,,12021 W PICO BLVD,90064,OW0015241,"HERMAN ENTERPRISES, INC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAEJYPM5K,7/8/2015,ESTRADA AND SONS PRODUCE,90,,751 S KERN AVE,90022,OW0026173,"NOIASCO, VICTOR","FOOD MKT RETAIL (25-1,999 SF) MODERATE RISK",MODERATE
DAVJ45UTH,7/8/2015,UNIQUE Dollar,90,,3645 E 1ST ST,90063,OW0123989,CHANG SEON KIM,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",LOW
DAR4QCYLZ,7/8/2015,SENOR FISH,90,,4803 EAGLE ROCK BLVD,90041,OW0029583,"RAMIREZ, ADOLFO H",RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAU77NJY9,7/8/2015,EL NUEVO RINCONSITO REST,90,,2454 W PICO BLVD,90006,OW0006766,CERON EDGARDO,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DATVEPCED,7/8/2015,SEA ROYAL HOUSE,90,,3655 W 3RD ST,90020,OW0031753,"SANTIAGO-SANCHEZ, JUAN CARLO",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAYWJS9L8,7/8/2015,MEZE,90,,2662 GRIFFITH PARK BLVD,90039,OW0026404,"O & A ARUTYUNYAN GROUP, INC.",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAVMP3XIU,7/8/2015,NAKKARA ON BEVERLY,90,,7669 BEVERLY BLVD,90036,OW0025555,NAKKARA LLC,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAADQTHQM,7/8/2015,LITTLE CHINA RESTAURANT,90,,3535 W CAHUENGA BLVD W STE 107,90068,OW0039155,"WONG, JASON K",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DADKAZSC5,7/8/2015,DAEWON BOWL,90,,3250 W OLYMPIC BLVD STE 315,90006,OW0009315,"DAEWON BOWL, INC.",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA7UUBVSH,7/8/2015,MARISCOS LOS KABOS,90,,4168 W BEVERLY BLVD,90004,OW0003504,"AYALA, LETICIA",RESTAURANT (0-30) SEATS LOW RISK,LOW
DA030ETDF,7/8/2015,"GONZALEZ,RUIZ JOSE",91,,940 S LORENA ST,90023,OW0011709,"FEDERICO,CASTILLO ZEPEDA",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAVQ1C0B2,7/8/2015,LUDWIG BIERGARDEN,91,,6333 W 3RD ST #101,90036-3109,OW0178535,"LUDWIG BIERGARTEN GROUP, LLC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
