serial_number,activity_date,name,score,grade,facility_address,facility_zip,owner_id,owner_name,pe_description,risk_level
DAAHCV9HB,12/12/2017,JOANIE AND LEIGH'S CAKES,91,,2323 ROSCOMARE RD # A,90077,OW0237409,JOANIE AND LEIGHS LLC,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAAJBVHWR,12/12/2017,BLOSSOM,91,,4019 W SUNSET BLVD,90029,OW0037604,VERONA ST. HOLDINGS LLC,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DASW7CB7O,12/12/2017,BRYANS BBQ,92,,6333 W 3RD ST STE #740,90036,OW0007001,"CHANG, CHIKON",RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAILS5W8P,12/12/2017,LA GUERA COMIDA MEXICANA,92,,144 VENICE BLVD,90015,OW0006498,CASTILLO OTILIA,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAVN5HQ0T,12/12/2017,SEAFOOD MARKET,92,,1100 N VERMONT AVE STE #12,90029,OW0032043,SEAFOOD MARKET INC,"FOOD MKT RETAIL (2,000+ SF) HIGH RISK",HIGH
DA9PLE8O0,12/12/2017,MCDONALD'S RESTAURANT,92,,988 W SLAUSON AVE,90044-5527,OW0016566,"HUGHES,LINDSAY",RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DAJ9KZX4Q,12/12/2017,ELISABETH MARKET,92,,4201 S VERMONT AVE,90037,OW0032231,"SEPULVEDA, NICANDRO","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",LOW
DAE7V710A,12/12/2017,MAMA SHELTER RESTAURANT/BAR,93,,6500 SELMA AVE,90028-6216,OW0185179,"MAMA MANAGEMENT USA, LLC",RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DAIMGG9ST,12/12/2017,TATSU RAMEN,93,,7111 MELROSE AVE,90046-7617,OW0124751,TATSU RAMEN,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAIMAVBFC,12/12/2017,CAFE FELIZ,93,,799 TOWNE AVE,90021,OW0127716,CHUN & LEE CA CORPORATION,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAEOA9NSB,12/12/2017,ENJOYER,93,,6727 S SAN PEDRO ST,90003,OW0229932,VYKOM,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DADBL00NH,12/12/2017,KAGAYA RESTAURANT,93,,418 E 2ND ST,90012,OW0018269,KAGAYA MASATO,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAI6YNQKN,12/12/2017,JAPANESE AMERICAN NAT. MUSEU,93,,100 N CENTRAL AVE # #110,90012,OW0003212,THE JAPANESE AMERICAN NATIONAL MUSEUM,RESTAURANT (151 + ) SEATS MODERATE RISK,MODERATE
DALY8KUHE,12/12/2017,SAZON K-TRACHO,93,,4181 S FIGUEROA ST,90037,OW0178998,SAZON K-TRACHO,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DARG5PNGD,12/12/2017,KILLER NOODLE TSUJITA,93,,2030 S SAWTELLE BLVD,90025,OW0245852,HIT WORLD CORPORATION,RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAPD0S3M3,12/12/2017,OLYMPIC DONUTS #4,94,,3879 E WHITTIER BLVD,90023,OW0227668,OLYMPIC DONUTS INC.,RESTAURANT (0-30) SEATS MODERATE RISK,MODERATE
DAE3RZWVK,12/12/2017,BELLA PITA,94,,960 GAYLEY AVE,90024,OW0004294,BELLA PITA INC,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DA2MCYA0P,12/12/2017,WHOLE FOODS MARKET,94,,11666 NATIONAL BLVD,90064,OW0038850,"WHOLE FOODS MARKET, INC.",RESTAURANT (31-60) SEATS MODERATE RISK,MODERATE
DAYI9OQCB,12/12/2017,MOUNTAINGATE COUNTRY CLUB,94,,12445 MOUNTAIN GATE DR,90049,OW0002528,AMERICAN GOLF CORPORATION,RESTAURANT (151 + ) SEATS HIGH RISK,HIGH
DABHIB0VH,12/12/2017,LUKSHON,94,,3239 HELMS AVE,90034,OW0026191,"NOODLES ARE GOOD, INC.",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DAEGHJ8ND,12/12/2017,GELSON'S MARKET #394,94,,10250 SANTA MONICA BLVD,90067,OW0013032,GELSON'S MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",HIGH
DAOFKTO6K,12/12/2017,JOE'S FALAFEL,94,,3535 CAHUENGA BLVD W STE 105,90068,OW0023780,MATTAR ELIAS,RESTAURANT (31-60) SEATS HIGH RISK,HIGH
DAJ0MDVPE,12/12/2017,KOMASA RESTAURANT,94,,351 E 2ND ST,90012,OW0025178,MOTOYAMA NINORU,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAWT20SYA,12/12/2017,RALPHS MARKET #709,95,,11361 NATIONAL BLVD,90064,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (0-30) SEATS HIGH RISK,HIGH
DAXMIQL1B,12/12/2017,ROOFTOP CABANA @ MAMA SHELTER,95,,6500 SELMA AVE,90028-6216,OW0185179,"MAMA MANAGEMENT USA, LLC",RESTAURANT (61-150) SEATS HIGH RISK,HIGH
DA0EUQF1T,12/12/2017,RED SHELL FOODS,95,,10250 SANTA MONICA BLVD,90067,OW0025515,NAGATANIEN RS FOOD LLC,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",HIGH
